,Season,GameId,Stadium,StadiumType,Turf,State,StateAbb
359568,2018,2018102108,Lincoln Financial Field,outdoor,Natural,Philadelphia,PA
360228,2018,2018102109,Raymond James Stadium,outdoor,Natural,Tampa,FL
361130,2018,2018102110,FedExField,outdoor,Natural,Landover,MD
362098,2018,2018102111,Levis Stadium,outdoor,Natural,Santa Clara,CA
363242,2018,2018102200,Mercedes-Benz Stadium,outdoor,Artificial,Atlanta,GA
364012,2018,2018102500,NRG,,Artificial,Houston,Texas
365266,2018,2018102800,Wembley Stadium,outdoor,Natural,London,England
365948,2018,2018102801,Bank of America Stadium,outdoor,Natural,Charlotte,NC
366652,2018,2018102802,Soldier Field,outdoor,Natural,Chicago,IL
367664,2018,2018102803,Paul Brown Stadium,outdoor,Artificial,Cincinnati,Ohio
368698,2018,2018102804,Ford Field,indoor,Artificial,Detroit,
369820,2018,2018102805,Arrowhead Stadium,outdoor,Natural,Kansas City,MO
370810,2018,2018102806,MetLife Stadium,,Artificial,East Rutherford,NJ
371778,2018,2018102807,Heinz Field,outdoor,Natural,Pittsburgh,
372834,2018,2018102808,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
374044,2018,2018102809,State Farm Stadium,,Natural,Glendale,AZ
375034,2018,2018102810,Los Angeles Memorial Coliseum,outdoor,Natural,Los Angeles,Calif.
376068,2018,2018102811,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
377102,2018,2018102900,New Era Field,outdoor,Artificial,Orchard Park,NY
377850,2018,2018110100,Levis Stadium,outdoor,Natural,Santa Clara,CA
378906,2018,2018110400,M&T Bank Stadium,outdoor,Natural,Baltimore,Md.
379698,2018,2018110401,New Era Field,outdoor,Artificial,Orchard Park NY,
380534,2018,2018110402,Bank of America Stadium,outdoor,Natural,Charlotte,NC
381348,2018,2018110403,FirstEnergy,outdoor,Natural,Cleveland,
382382,2018,2018110404,Hard Rock Stadium,outdoor,Natural,Miami Gardens,Fla.
383350,2018,2018110405,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
384230,2018,2018110406,FedExField,outdoor,Natural,Landover,MD
385066,2018,2018110407,Broncos Stadium at Mile High,outdoor,Natural,Denver,CO
386100,2018,2018110408,CenturyLink Field,outdoor,Artificial,Seattle,
387178,2018,2018110409,Mercedes-Benz Superdome,indoor,Artificial,New Orleans,LA
388124,2018,2018110410,Gillette Stadium,outdoor,Artificial,Foxborough,MA
389158,2018,2018110500,AT&T Stadium,indoor,Artificial,Arlington,Texas
390126,2018,2018110800,Heinz Field,outdoor,Natural,Pittsburgh,
391094,2018,2018111100,Soldier Field,outdoor,Natural,Chicago,IL
391996,2018,2018111101,Paul Brown Stadium,outdoor,Artificial,Cincinnati,Ohio
393118,2018,2018111102,FirstEnergy,outdoor,Natural,"Cleveland,Ohio",
393954,2018,2018111103,Lambeau Field,outdoor,Artificial,Green Bay,WI
394812,2018,2018111104,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
395912,2018,2018111105,Arrowhead Stadium,outdoor,Natural,Kansas City,MO
396858,2018,2018111106,MetLife,outdoor,Artificial,East Rutherford,NJ
398178,2018,2018111107,Raymond James Stadium,outdoor,Natural,Tampa,FL
399036,2018,2018111108,Nissan Stadium,outdoor,Natural,Nashville,TN
400158,2018,2018111109,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
401126,2018,2018111110,Los Angeles Memorial Coliseum,outdoor,Natural,Los Angeles,Calif.
402116,2018,2018111111,Lincoln Financial Field,outdoor,Natural,Philadelphia,Pa.
402886,2018,2018111200,Levis Stadium,outdoor,Natural,Santa Clara,CA
403986,2018,2018111500,CenturyLink Field,outdoor,Artificial,Seattle,WA
404910,2018,2018111800,Mercedes-Benz Stadium,outdoor,Artificial,Atlanta,GA
405834,2018,2018111801,M&T Bank Stadium,outdoor,Natural,Baltimore,Md.
406758,2018,2018111802,Soldier Field,outdoor,Natural,Chicago,IL
407682,2018,2018111803,Ford Field,indoor,Artificial,Detroit,
408496,2018,2018111804,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
409486,2018,2018111805,MetLife Stadium,,Artificial,East Rutherford,NJ
410608,2018,2018111806,FedExField,outdoor,Natural,Landover,MD
411664,2018,2018111807,State Farm Stadium,,Natural,Glendale,AZ
413050,2018,2018111808,StubHub Center,,Natural,Carson,CA
413952,2018,2018111809,Mercedes-Benz Superdome,,Artificial,New Orleans,LA
414898,2018,2018111810,TIAA Bank Field,outdoor,Natural,Jacksonville,FL
415998,2018,2018111900,Los Angeles Memorial Coliseum,outdoor,Natural,Los Angeles,Calif.
416680,2018,2018112200,Ford Field,indoor,Artificial,Detroit,MI
417450,2018,2018112201,AT&T Stadium,indoor,Artificial,Arlington,Texas
418396,2018,2018112202,Mercedes-Benz Superdome,,Artificial,New Orleans,LA
419232,2018,2018112500,M&T Bank Stadium,outdoor,Natural,Baltimore,Md.
420332,2018,2018112501,New Era Field,outdoor,Artificial,Orchard Park NY,
421542,2018,2018112502,Bank of America Stadium,outdoor,Natural,Charlotte,NC
422488,2018,2018112503,Paul Brown Stadium,outdoor,Artificial,Cincinnati,OH
423500,2018,2018112504,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
424512,2018,2018112505,MetLife,outdoor,Artificial,East Rutherford,NJ
425524,2018,2018112506,Lincoln Financial Field,outdoor,Natural,Philadelphia,Pa.
426492,2018,2018112507,Raymond James Stadium,outdoor,Natural,Tampa,FL
427504,2018,2018112508,StubHub Center,,Natural,Carson,CA
428560,2018,2018112509,Broncos Stadium at Mile High,outdoor,Natural,Denver,CO
429308,2018,2018112510,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
430232,2018,2018112600,NRG,,Artificial,Houston,Texas
431090,2018,2018112900,AT&T Stadium,indoor,Artificial,Arlington,Texas
432058,2018,2018120200,Mercedes-Benz Stadium,outdoor,Artificial,Atlanta,GA
433048,2018,2018120201,Paul Brown Stdium,outdoor,Artificial,Cincinnati,Ohio
434192,2018,2018120202,Ford Field,indoor,Artificial,Detroit,
435336,2018,2018120203,Lambeau field,outdoor,Artificial,Green Bay,WI
436348,2018,2018120204,NRG Stadium,,Artificial,Houston,TX
437206,2018,2018120205,TIAA Bank Field,,Natural,Jacksonville,FL
437976,2018,2018120206,Hard Rock Stadium,outdoor,Natural,Miami Gardens,Fla.
438856,2018,2018120207,MetLife Stadium,,Artificial,East Rutherford,NJ
440110,2018,2018120208,Heinz Field,outdoor,Natural,Pittsburgh,
440968,2018,2018120209,Raymond James Stadium,outdoor,Natural,Tampa,FL
441672,2018,2018120210,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
442684,2018,2018120211,Nissan Stadium,outdoor,Natural,Nashville,TN
443762,2018,2018120212,Gillette Stadium,outdoor,Artificial,Foxborough,MA
444862,2018,2018120213,CenturyLink Field,outdoor,Artificial,Seattle,WA
445874,2018,2018120300,Lincoln Financial Field,outdoor,Natural,Philadelphia,Pa.
446798,2018,2018120600,Nissan Stadium,outdoor,Natural,Nashville,TN
447722,2018,2018120900,New Era Field,outdoor,Artificial,Orchard Park NY,
448734,2018,2018120901,Soldier Field,outdoor,Natural,Chicago,IL
449636,2018,2018120902,FirstEnergy,outdoor,Natural,"Cleveland,Ohio",
450450,2018,2018120903,Lambeau Field,outdoor,Artificial,Green Bay,WI
451418,2018,2018120904,NRG Stadium,,Artificial,Houston,TX
452210,2018,2018120905,Arrowhead Stadium,outdoor,Natural,Kansas City, MO
453354,2018,2018120906,Hard Rock Stadium,outdoor,Natural,Miami Gardens,Fla.
454410,2018,2018120907,Raymond James Stadium,outdoor,Natural,Tampa,FL
455378,2018,2018120908,FedExField,outdoor,Natural,Landover,MD
456434,2018,2018120909,StubHub Center,,Natural,Carson,CA
457600,2018,2018120910,Levis Stadium,outdoor,Natural,Santa Clara,CA
458656,2018,2018120911,State Farm Stadium,,Natural,Glendale,AZ
459734,2018,2018120912,AT&T Stadium,indoor,Artificial,Arlington,Texas
460658,2018,2018120913,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
461560,2018,2018121000,CenturyLink Field,outdoor,Artificial,Seattle,WA
462704,2018,2018121300,Arrowhead Stadium,outdoor,Natural,Kansas City,MO
463540,2018,2018121500,Metlife Stadium,outdoor,Artificial,East Rutherford,NJ
464376,2018,2018121501,Broncos Stadium at Mile High,outdoor,Natural,Denver,CO
465300,2018,2018121600,Mercedes-Benz Stadium,indoor,Artificial,Atlanta,GA
466246,2018,2018121601,M&T Bank Stadium,outdoor,Natural,Baltimore,Md.
467346,2018,2018121602,New Era Field,outdoor,Artificial,Orchard Park NY,
468534,2018,2018121603,Soldier Field,outdoor,Natural,Chicago,IL
469414,2018,2018121604,Paul Brown Stadium,outdoor,Artificial,Cincinnati,OH
470514,2018,2018121605,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
471548,2018,2018121606,TIAA Bank Field,,Natural,Jacksonville Florida,
472516,2018,2018121607,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
473616,2018,2018121608,MetLife Stadium,,Artificial,East Rutherford,NJ
474782,2018,2018121609,Levis Stadium,outdoor,Natural,Santa Clara,CA
475992,2018,2018121610,Heinz Field,outdoor,Natural,Pittsburgh,PA
476916,2018,2018121611,Los Angeles Memorial Coliseum,outdoor,Natural,Los Angeles,CA
477884,2018,2018121700,Bank of America Stadium,outdoor,Natural,Charlotte,NC
478896,2018,2018122200,Nissan Stadium,outdoor,Natural,Nashville,TN
480106,2018,2018122201,StubHub Center,,Natural,Carson,CA
480920,2018,2018122300,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
481800,2018,2018122302,Hard Rock Stadium,outdoor,Natural,Miami Gardens,Fla.
482702,2018,2018122304,Bank of America Stadium,outdoor,Natural,Charlotte,NC
483582,2018,2018122305,FirstEnergy,outdoor,Natural,"Cleveland,Ohio",
484418,2018,2018122306,AT&T Stadium,indoor,Artificial,Arlington,Texas
485320,2018,2018122307,Ford Field,indoor,Artificial,Detroit,
486398,2018,2018122308,Gillette Stadium,outdoor,Artificial,Foxborough,MA
487674,2018,2018122309,MetLife Stadium,outdoor,Artificial,East Rutherford,NJ
488356,2018,2018122310,Lincoln Financial Field,outdoor,Natural,Philadelphia,Pa.
489060,2018,2018122311,State Farm Stadium,,Natural,Glendale,AZ
490160,2018,2018122312,Levis Stadium,outdoor,Natural,Santa Clara,CA
490974,2018,2018122313,Mercedes-Benz Superdome,,Artificial,New Orleans,LA
491656,2018,2018122314,CenturyLink Field,outdoor,Artificial,Seattle,WA
492778,2018,2018122400,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
493834,2018,2018123000,M&T Bank Stadium,outdoor,Natural,Baltimore,Md.
494758,2018,2018123001,New Era Field,outdoor,Artificial,Orchard Park,NY
495726,2018,2018123002,Lambeau Field,outdoor,Artificial,Green Bay,WI
496716,2018,2018123003,NRG,,Artificial,Houston,Texas
497420,2018,2018123004,Arrowhead Stadium,outdoor,Natural,Kansas City,MO
498586,2018,2018123005,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
499642,2018,2018123006,Gillette Stadium,outdoor,Artificial,Foxborough,MA
500632,2018,2018123007,Mercedes-Benz Superdome,,Artificial,New Orleans,
501776,2018,2018123008,MetLife Stadium,,Artificial,East Rutherford,NJ
502700,2018,2018123009,Heinz Field,outdoor,Natural,Pittsburgh,
503404,2018,2018123010,Raymond James Stadium,outdoor,Natural,Tampa,FL
504350,2018,2018123011,Nissan Stadium,outdoor,Natural,Nashville,TN
505274,2018,2018123012,FedExField,outdoor,Natural,Landover,MD
506132,2018,2018123013,Broncos Stadium at Mile High,outdoor,Natural,Denver,CO
507188,2018,2018123014,Los Angeles Memorial Coliseum,outdoor,Natural,Los Angeles,Calif.
508530,2018,2018123015,CenturyLink Field,outdoor,Artificial,Seattle,WA
