,Down,Yards,Quarter,DefendersInTheBox
125574,1,2,3,7.0
125596,2,3,3,7.0
125607,2,6,3,5.0
125629,1,-6,4,7.0
125655,1,4,4,7.0
125677,1,-2,4,7.0
125705,2,15,4,8.0
125727,1,5,4,6.0
125749,1,5,4,7.0
125764,2,5,4,6.0
125787,1,0,4,8.0
125809,2,1,4,10.0
125831,1,1,4,10.0
125853,2,1,4,11.0
125875,3,2,4,10.0
125905,1,2,1,7.0
125927,2,2,1,6.0
125941,1,1,1,7.0
125971,2,5,1,7.0
125975,1,2,1,7.0
125997,2,4,1,8.0
126017,1,-2,1,7.0
126041,1,1,1,8.0
126073,1,2,1,6.0
126084,1,-2,1,6.0
126116,1,5,2,6.0
126147,1,6,2,7.0
126161,1,4,2,8.0
126183,2,0,2,7.0
126205,1,9,2,7.0
126227,2,0,2,7.0
126257,3,3,2,8.0
126261,1,0,2,7.0
126288,2,5,2,8.0
126302,1,8,2,8.0
126333,2,2,2,8.0
126354,1,9,2,8.0
126376,2,-2,2,8.0
126394,1,2,3,8.0
126417,2,2,3,7.0
126447,1,32,3,7.0
126477,1,17,3,7.0
126496,2,2,3,6.0
126521,2,6,3,6.0
126530,1,5,3,6.0
126552,2,0,3,6.0
126579,1,2,3,7.0
126601,3,2,3,8.0
126623,1,2,3,6.0
126644,3,4,3,6.0
126663,1,2,3,6.0
126689,1,2,4,7.0
126707,1,6,4,6.0
126729,2,3,4,6.0
126751,3,4,4,8.0
126774,1,0,4,6.0
126799,1,3,4,6.0
126829,2,17,4,7.0
126851,2,0,4,6.0
126873,3,10,4,5.0
126887,1,3,4,7.0
126909,2,6,4,6.0
126936,3,2,4,7.0
126955,1,5,1,6.0
126977,2,24,1,7.0
126999,2,6,1,7.0
127013,1,36,1,7.0
127035,1,9,1,6.0
127057,2,-1,1,7.0
127087,1,5,1,7.0
127109,3,2,1,8.0
127131,1,5,1,6.0
127154,1,2,1,8.0
127175,2,-1,1,8.0
127203,1,1,1,8.0
127207,1,3,1,6.0
127229,2,0,1,7.0
127255,1,0,1,6.0
127291,1,14,2,7.0
127313,1,7,2,7.0
127335,2,6,2,7.0
127357,1,-2,2,6.0
127365,1,2,2,6.0
127387,1,0,2,6.0
127409,2,1,2,6.0
127439,2,3,2,7.0
127462,1,4,2,6.0
127483,1,1,2,7.0
127497,1,1,2,6.0
127515,1,2,2,6.0
127541,2,0,2,6.0
127564,1,4,3,8.0
127586,2,4,3,8.0
127603,1,21,3,6.0
127629,1,0,3,8.0
127651,2,1,3,8.0
127681,1,1,3,7.0
127695,1,-3,3,8.0
127725,1,5,3,7.0
127741,1,13,3,8.0
127761,1,1,3,7.0
127782,2,4,3,6.0
127813,1,6,3,6.0
127835,2,3,3,8.0
127857,3,0,3,9.0
127869,1,2,3,8.0
127891,2,0,3,7.0
127913,1,0,4,7.0
127935,2,9,4,7.0
127957,3,0,4,7.0
127995,1,2,4,6.0
128017,1,4,4,7.0
128039,2,5,4,6.0
128044,1,4,4,8.0
128067,2,16,4,6.0
128089,1,10,4,7.0
128111,1,5,4,7.0
128132,2,0,4,6.0
128151,3,7,4,6.0
128177,1,3,4,7.0
128199,2,0,4,7.0
128217,3,1,4,6.0
128258,1,4,4,7.0
128265,2,2,4,8.0
128287,3,7,4,8.0
128309,4,-1,4,8.0
128331,1,4,1,7.0
128353,2,3,1,9.0
128375,1,3,1,8.0
128397,1,4,1,7.0
128425,2,1,1,7.0
128457,1,4,1,5.0
128469,2,5,1,7.0
128486,1,-2,1,6.0
128502,2,-1,1,7.0
128535,2,3,1,7.0
128567,2,0,1,7.0
128577,1,9,1,7.0
128608,1,6,2,7.0
128630,2,1,2,7.0
128645,3,2,2,7.0
128677,1,-1,2,7.0
128678,1,0,2,7.0
128708,1,4,2,9.0
128731,1,4,2,7.0
128750,1,1,2,6.0
128772,2,-2,2,7.0
128805,2,2,2,6.0
128827,1,14,2,6.0
128849,1,46,2,6.0
128875,1,6,2,7.0
128897,1,28,3,6.0
128909,1,9,3,9.0
128931,2,0,3,9.0
128959,1,6,3,6.0
128975,2,10,3,8.0
129003,1,5,3,8.0
129025,2,-3,3,7.0
129036,2,3,3,7.0
129058,1,-1,3,8.0
129085,1,5,3,7.0
129107,2,2,3,7.0
129127,1,1,3,6.0
129140,1,1,4,7.0
129162,1,1,4,7.0
129205,1,7,4,8.0
129227,2,-3,4,8.0
129249,1,1,4,8.0
129271,2,-2,4,8.0
129293,3,5,4,6.0
129315,1,4,4,7.0
129324,2,4,4,7.0
129356,1,26,4,7.0
129378,1,2,4,7.0
129400,2,0,4,9.0
129422,3,0,4,9.0
129444,4,-3,4,9.0
129459,1,2,1,7.0
129491,2,20,1,7.0
129512,1,0,1,8.0
129525,2,4,1,8.0
129545,1,14,1,7.0
129566,1,1,1,8.0
129588,2,-1,1,10.0
129606,1,2,1,8.0
129633,1,2,1,7.0
129655,1,1,2,7.0
129676,2,2,2,7.0
129697,3,0,2,7.0
129719,4,2,2,8.0
129742,1,4,2,8.0
129765,2,4,2,6.0
129787,3,-1,2,7.0
129819,1,10,2,7.0
129841,1,5,2,7.0
129864,1,3,2,8.0
129886,3,1,2,10.0
129896,1,0,3,8.0
129921,1,2,3,7.0
129944,2,4,3,7.0
129963,1,1,3,6.0
129984,1,7,3,8.0
130009,1,-1,3,8.0
130040,3,0,3,9.0
130051,1,2,3,7.0
130072,2,5,3,7.0
130093,4,0,4,9.0
130119,1,-3,4,8.0
130150,1,5,4,7.0
130163,2,1,4,8.0
130183,1,14,4,5.0
130205,2,2,4,7.0
130230,2,7,4,7.0
130260,1,2,4,8.0
130273,2,3,4,8.0
130291,3,5,4,6.0
130312,1,7,1,8.0
130333,2,1,1,8.0
130366,1,6,1,7.0
130378,1,1,1,7.0
130400,2,2,1,6.0
130433,1,1,1,8.0
130444,2,-2,1,8.0
130477,1,11,1,8.0
130502,1,1,1,8.0
130510,1,3,1,7.0
130532,2,2,1,7.0
130565,1,0,1,7.0
130586,1,3,1,8.0
130598,1,18,2,8.0
130620,1,3,2,8.0
130642,1,16,2,8.0
130664,1,0,2,8.0
130696,1,4,2,8.0
130708,1,6,2,7.0
130730,2,2,2,8.0
130762,1,6,2,6.0
130774,2,13,2,7.0
130796,2,3,2,7.0
130818,1,4,2,8.0
130840,1,0,2,8.0
130871,1,4,3,6.0
130893,2,5,3,7.0
130915,3,5,3,8.0
130938,1,0,3,7.0
130960,2,0,3,11.0
130972,1,4,3,7.0
130993,1,-2,3,8.0
131016,2,3,3,7.0
131038,1,7,3,8.0
131070,1,1,3,8.0
131082,1,3,3,8.0
131104,2,2,3,7.0
131126,1,7,3,7.0
131148,2,4,3,7.0
131170,1,7,4,8.0
131192,2,1,4,8.0
131213,1,1,4,8.0
131236,1,2,4,8.0
131257,2,7,4,7.0
131280,1,0,4,8.0
131302,1,6,4,8.0
131325,2,3,4,7.0
131346,3,-2,4,8.0
131367,1,1,4,8.0
131390,1,2,4,7.0
131412,2,25,4,8.0
131434,1,2,4,8.0
131457,2,3,4,6.0
131480,1,3,1,6.0
131501,1,-1,1,8.0
131525,1,8,1,6.0
131547,2,1,1,7.0
131561,1,0,1,7.0
131596,1,2,1,8.0
131619,2,1,1,7.0
131642,1,3,1,6.0
131663,2,3,1,6.0
131684,1,8,1,7.0
131708,2,3,1,6.0
131721,1,1,1,8.0
131755,1,4,2,7.0
131775,2,5,2,7.0
131798,3,4,2,8.0
131819,1,11,2,8.0
131832,2,2,2,7.0
131848,1,1,2,7.0
131875,1,-5,2,7.0
131898,1,5,2,7.0
131918,1,0,2,11.0
131940,2,1,2,11.0
131959,3,11,2,4.0
131996,1,5,3,6.0
132017,2,2,3,6.0
132030,1,5,3,7.0
132052,1,-3,3,7.0
132083,2,0,3,6.0
132107,3,5,3,8.0
132117,2,2,3,7.0
132134,1,0,3,7.0
132172,1,7,4,6.0
132195,1,6,4,7.0
132200,2,3,4,7.0
132240,2,2,4,7.0
132259,3,0,4,8.0
132271,1,4,4,6.0
132293,1,3,4,7.0
132310,3,5,4,4.0
132336,1,1,4,11.0
132372,1,4,1,8.0
132394,3,10,1,7.0
132416,1,1,1,8.0
132428,1,3,1,6.0
132450,2,3,1,7.0
132482,1,4,1,6.0
132504,2,-4,1,6.0
132516,1,0,1,6.0
132548,2,8,1,6.0
132560,1,0,1,8.0
132581,2,12,1,6.0
132614,2,-3,2,8.0
132626,1,2,2,7.0
132648,1,1,2,7.0
132670,2,1,2,6.0
132702,1,6,2,6.0
132723,1,3,2,6.0
132746,2,7,2,6.0
132768,1,3,2,7.0
132780,1,-5,2,7.0
132802,1,19,3,6.0
132824,1,4,3,6.0
132846,1,0,3,7.0
132868,2,6,3,7.0
132900,1,7,3,7.0
132922,2,11,3,6.0
132944,2,1,3,6.0
132966,1,4,3,6.0
132988,2,3,3,7.0
133010,1,3,3,8.0
133032,2,2,3,9.0
133054,1,5,3,7.0
133076,1,1,4,6.0
133091,1,11,4,6.0
133120,1,5,4,6.0
133142,2,3,4,7.0
133164,3,2,4,8.0
133172,3,3,4,6.0
133208,1,3,4,8.0
133230,2,5,4,7.0
133252,1,-3,4,8.0
133274,3,2,4,8.0
133281,1,0,1,8.0
133301,1,2,1,8.0
133324,2,-1,1,8.0
133345,1,1,1,6.0
133374,1,3,1,7.0
133405,1,-1,1,8.0
133427,1,0,1,8.0
133449,2,4,1,7.0
133470,3,4,1,5.0
133484,1,1,1,7.0
133514,3,2,2,8.0
133539,1,11,2,7.0
133561,2,5,2,6.0
133581,1,1,2,8.0
133605,1,0,2,7.0
133622,3,3,2,8.0
133649,1,4,2,6.0
133660,2,11,2,5.0
133676,3,6,2,7.0
133715,2,1,2,6.0
133737,2,4,3,6.0
133743,1,3,3,7.0
133764,2,14,3,6.0
133792,1,3,3,6.0
133808,3,22,3,7.0
133847,2,42,3,7.0
133869,1,0,3,7.0
133880,1,2,3,7.0
133902,2,4,3,5.0
133924,1,5,3,7.0
133946,2,0,3,8.0
133963,1,8,4,7.0
133987,2,0,4,7.0
134023,1,2,4,6.0
134034,1,1,4,7.0
134064,3,4,4,3.0
134073,1,2,4,7.0
134094,1,-3,4,7.0
134116,1,3,4,8.0
134138,1,0,4,9.0
134160,2,0,4,9.0
134199,1,2,1,7.0
134221,1,4,1,8.0
134243,2,0,1,6.0
134264,1,9,1,6.0
134287,2,3,1,8.0
134297,1,-1,1,6.0
134319,1,0,1,6.0
134342,1,4,1,7.0
134362,2,11,1,7.0
134385,1,5,1,6.0
134406,1,2,2,7.0
134428,2,-2,2,7.0
134446,1,-4,2,7.0
134477,2,1,2,5.0
134495,1,2,2,6.0
134516,1,7,2,6.0
134539,2,0,2,7.0
134557,1,0,2,8.0
134582,2,3,2,7.0
134604,1,8,2,7.0
134627,2,4,2,8.0
134659,3,8,2,6.0
134682,1,9,2,6.0
134688,2,14,3,7.0
134714,1,3,3,7.0
134735,2,2,3,6.0
134759,1,2,3,7.0
134781,2,1,3,7.0
134803,1,0,3,6.0
134837,2,3,3,6.0
134846,1,-1,3,6.0
134869,1,0,3,7.0
134890,1,2,3,7.0
134913,1,0,4,8.0
134946,2,5,4,6.0
134968,1,8,4,7.0
134990,1,3,4,7.0
134996,1,1,4,8.0
135023,1,2,4,8.0
135045,2,3,4,8.0
135067,1,-2,4,7.0
135089,2,4,4,8.0
135112,2,-6,4,8.0
135145,1,1,4,7.0
135153,2,-3,1,8.0
135185,1,-4,1,8.0
135197,1,2,1,7.0
135229,1,3,1,8.0
135252,2,3,1,7.0
135263,1,3,1,7.0
135284,1,2,1,6.0
135305,1,1,1,7.0
135330,1,1,1,8.0
135361,1,4,1,7.0
135383,1,1,1,7.0
135405,1,3,1,7.0
135427,2,1,1,8.0
135449,1,2,1,8.0
135471,1,4,1,8.0
135482,1,0,2,7.0
135506,1,2,2,8.0
135527,2,1,2,6.0
135559,1,-1,2,7.0
135581,1,5,2,8.0
135603,2,-1,2,8.0
135615,2,2,2,7.0
135637,3,23,2,7.0
135658,1,-1,2,7.0
135691,1,2,3,7.0
135713,2,9,3,7.0
135735,1,-2,3,8.0
135757,2,6,3,7.0
135779,1,0,3,7.0
135801,2,4,3,7.0
135823,1,0,3,7.0
135836,1,0,3,7.0
135867,1,-2,3,8.0
135889,1,2,3,8.0
135902,2,17,3,7.0
135933,1,-7,4,7.0
135947,2,1,4,6.0
135965,1,-1,4,7.0
135990,3,5,4,6.0
136022,1,1,4,8.0
136038,3,36,1,9.0
136064,1,-2,1,7.0
136082,1,1,1,8.0
136102,1,9,1,6.0
136116,2,14,1,8.0
136138,4,25,1,8.0
136160,1,3,1,7.0
136182,1,1,1,10.0
136214,1,6,1,6.0
136226,1,3,1,8.0
136247,1,5,1,7.0
136280,1,5,1,8.0
136306,1,-5,1,6.0
136313,1,6,2,7.0
136336,2,1,2,7.0
136357,1,5,2,7.0
136388,3,9,2,7.0
136402,2,3,2,8.0
136434,2,3,2,8.0
136446,1,2,2,7.0
136476,2,-1,2,6.0
136503,3,0,2,6.0
136512,2,5,3,7.0
136534,1,2,3,7.0
136556,2,16,3,7.0
136586,1,19,3,8.0
136608,1,5,3,8.0
136632,1,-2,3,8.0
136644,1,3,3,8.0
136666,1,11,3,8.0
136696,1,10,3,8.0
136714,1,9,3,7.0
136732,2,9,3,7.0
136762,1,15,3,8.0
136784,1,11,3,7.0
136806,1,11,3,7.0
136820,1,5,3,8.0
136850,2,6,3,7.0
136864,1,4,4,8.0
136886,2,5,4,7.0
136908,3,3,4,7.0
136938,1,3,4,7.0
136960,2,-1,4,6.0
136982,3,9,4,6.0
137004,1,1,4,7.0
137026,2,6,4,6.0
137048,3,0,4,8.0
137070,1,-3,4,7.0
137092,2,2,4,7.0
137114,3,-1,4,6.0
137140,4,0,4,6.0
137158,1,3,4,8.0
137180,2,41,4,8.0
137211,1,-1,1,8.0
137232,1,-1,1,7.0
137255,2,-3,1,7.0
137268,1,5,1,6.0
137290,1,1,1,8.0
137312,2,6,1,6.0
137343,1,14,1,6.0
137365,2,2,1,7.0
137386,1,4,1,7.0
137399,1,2,1,7.0
137420,3,0,1,7.0
137453,1,4,2,8.0
137464,1,37,2,7.0
137497,1,3,2,8.0
137518,2,25,2,6.0
137543,1,1,2,7.0
137562,1,-3,2,6.0
137575,1,7,2,6.0
137607,2,-1,2,7.0
137619,1,7,2,7.0
137640,2,1,2,6.0
137670,2,0,2,6.0
137686,1,4,3,8.0
137708,1,7,3,8.0
137730,2,2,3,6.0
137761,1,1,3,8.0
137783,2,5,3,7.0
137796,1,4,3,7.0
137818,2,1,3,7.0
137840,1,4,3,6.0
137853,2,0,3,6.0
137884,1,3,3,6.0
137906,2,5,3,6.0
137928,3,1,3,8.0
137950,4,4,3,8.0
137972,2,3,4,6.0
137994,1,1,4,7.0
138024,1,2,4,8.0
138046,1,3,4,7.0
138060,1,6,4,6.0
138082,2,6,4,6.0
138104,1,0,4,6.0
138125,1,1,4,7.0
138148,1,6,4,7.0
138170,2,4,4,8.0
138192,1,3,4,9.0
138212,2,2,4,7.0
138236,1,-1,4,8.0
138258,2,4,4,8.0
138289,2,-6,1,6.0
138296,1,0,1,8.0
138318,2,3,1,7.0
138353,1,20,1,7.0
138372,1,21,1,7.0
138394,1,-4,1,7.0
138406,1,10,1,7.0
138428,1,0,1,7.0
138450,4,1,1,7.0
138471,2,6,1,6.0
138493,1,13,1,6.0
138531,1,19,2,8.0
138548,1,10,2,8.0
138575,2,2,2,6.0
138598,1,8,2,5.0
138604,1,-4,2,8.0
138626,2,4,2,6.0
138648,1,3,2,6.0
138670,1,9,2,6.0
138692,2,0,2,7.0
138713,3,2,2,7.0
138736,2,21,3,7.0
138758,1,4,3,7.0
138779,1,6,3,7.0
138801,2,19,3,6.0
138824,1,14,3,6.0
138846,1,6,3,7.0
138882,1,1,3,6.0
138904,1,0,3,7.0
138927,2,4,3,6.0
138933,2,2,3,7.0
138956,1,14,3,7.0
138978,2,8,3,6.0
138999,1,0,3,6.0
139021,1,0,3,10.0
139044,1,-1,3,6.0
139076,1,8,4,7.0
139103,1,7,4,6.0
139110,2,4,4,6.0
139146,1,-2,4,7.0
139168,2,-1,4,7.0
139184,1,5,1,7.0
139206,2,-1,1,7.0
139222,1,0,1,7.0
139244,2,1,1,6.0
139272,1,5,1,6.0
139294,2,4,1,6.0
139316,3,4,1,8.0
139346,2,-5,1,6.0
139354,1,8,1,8.0
139376,2,3,1,9.0
139398,1,2,1,7.0
139420,3,4,1,6.0
139448,1,3,1,8.0
139470,2,9,1,6.0
139486,1,15,2,7.0
139508,2,4,2,7.0
139536,1,8,2,8.0
139558,2,3,2,7.0
139588,1,8,2,7.0
139609,2,0,2,7.0
139632,1,0,2,7.0
139642,1,-9,2,8.0
139662,2,3,2,6.0
139690,1,5,2,6.0
139712,2,1,2,6.0
139734,1,-2,2,6.0
139756,1,9,3,7.0
139778,2,-5,3,7.0
139794,1,9,3,6.0
139816,2,3,3,7.0
139838,2,1,3,6.0
139860,3,5,3,7.0
139882,1,0,3,7.0
139910,2,1,3,7.0
139932,1,1,3,8.0
139948,1,5,3,7.0
139970,1,3,3,6.0
140006,2,0,3,7.0
140014,1,5,3,6.0
140049,1,3,4,6.0
140072,2,-1,4,6.0
140080,1,3,4,7.0
140102,1,-2,4,7.0
140127,1,12,4,8.0
140145,1,3,4,8.0
140168,2,1,4,8.0
140196,2,4,4,7.0
140226,1,5,4,7.0
140234,1,5,4,7.0
140256,2,3,4,6.0
140278,1,-7,4,6.0
140299,1,2,4,8.0
140322,2,1,4,9.0
140344,2,4,1,6.0
140370,1,7,1,6.0
140389,2,2,1,7.0
140409,3,-1,1,9.0
140446,1,2,1,7.0
140467,1,0,1,6.0
140490,2,8,1,7.0
140498,1,1,1,8.0
140534,1,2,1,8.0
140546,2,9,1,6.0
140577,1,4,1,8.0
140600,2,0,1,6.0
140608,1,1,1,6.0
140631,1,5,2,6.0
140653,3,2,2,6.0
140687,1,0,2,8.0
140709,1,3,2,7.0
140732,2,6,2,7.0
140753,3,-1,2,8.0
140768,1,1,2,6.0
140785,1,2,2,6.0
140819,1,8,2,7.0
140841,2,0,2,5.0
140864,1,2,3,7.0
140868,1,13,3,7.0
140893,1,1,3,8.0
140920,1,11,3,4.0
140938,2,-2,3,7.0
140974,1,-1,3,8.0
140986,2,5,3,7.0
141008,2,0,3,7.0
141040,1,2,4,7.0
141046,1,6,4,7.0
141070,2,3,4,7.0
141092,3,0,4,7.0
141118,1,7,4,8.0
141140,2,3,4,5.0
141162,1,5,4,8.0
141184,2,-4,4,7.0
141206,1,-1,4,9.0
141223,1,3,4,9.0
141245,2,-1,4,9.0
141268,3,4,4,8.0
141303,1,4,5,8.0
141325,3,1,5,9.0
141347,1,2,5,7.0
141369,1,1,5,8.0
141391,2,1,5,8.0
141395,1,2,1,8.0
141425,3,3,1,6.0
141453,1,7,1,8.0
141475,2,-2,1,8.0
141483,1,21,1,6.0
141514,1,5,1,7.0
141540,1,3,1,7.0
141562,1,1,1,8.0
141585,1,7,1,8.0
141605,1,4,1,6.0
141626,1,4,1,7.0
141649,1,1,1,7.0
141672,2,4,1,6.0
141689,2,6,1,6.0
141712,2,-1,2,7.0
141740,1,1,2,7.0
141747,1,1,2,6.0
141769,1,2,2,6.0
141791,2,3,2,7.0
141831,1,-1,2,7.0
141844,1,-2,2,6.0
141857,1,0,2,8.0
141886,2,5,2,6.0
141910,1,4,2,6.0
141923,3,1,2,5.0
141959,1,0,3,8.0
141978,2,3,3,6.0
142002,1,2,3,7.0
142011,1,3,3,8.0
142042,2,6,3,7.0
142055,3,0,3,7.0
142090,1,1,3,7.0
142099,2,-3,3,8.0
142139,1,-1,3,8.0
142158,1,-1,3,7.0
142173,2,0,4,6.0
142202,1,-4,4,8.0
142220,1,5,4,7.0
142246,3,21,4,5.0
142266,1,0,4,6.0
142288,1,5,4,7.0
142311,2,8,4,7.0
142333,1,4,4,7.0
142356,2,4,4,7.0
142377,1,2,4,8.0
142399,2,3,4,8.0
142421,3,0,4,8.0
142440,2,3,1,6.0
142461,1,2,1,7.0
142491,1,1,1,8.0
142505,1,9,1,7.0
142527,2,2,1,11.0
142547,1,3,1,7.0
142569,2,7,1,7.0
142591,2,8,1,5.0
142615,1,3,1,8.0
142637,2,1,1,8.0
142657,1,-3,1,7.0
142675,2,8,2,5.0
142709,1,1,2,8.0
142734,2,3,2,7.0
142755,1,6,2,6.0
142779,2,20,2,6.0
142800,2,23,2,7.0
142821,2,6,2,7.0
142834,1,-4,2,8.0
142857,1,5,2,7.0
142880,2,4,2,6.0
142901,1,1,2,10.0
142922,1,13,2,7.0
142943,1,3,2,8.0
142968,3,3,2,5.0
142989,1,2,3,7.0
143010,1,4,3,7.0
143027,2,2,3,6.0
143055,1,2,3,7.0
143087,2,13,3,7.0
143107,1,0,3,7.0
143119,1,-1,3,6.0
143143,1,2,3,7.0
143174,1,4,3,7.0
143187,2,3,4,7.0
143207,1,12,4,7.0
143229,1,1,4,6.0
143261,2,0,4,6.0
143284,1,1,4,8.0
143305,2,2,4,7.0
143329,2,-3,4,7.0
143349,2,5,4,8.0
143371,1,5,4,7.0
143393,1,3,1,8.0
143415,1,7,1,7.0
143433,1,6,1,7.0
143443,2,14,1,8.0
143466,1,1,1,9.0
143488,2,1,1,9.0
143525,1,2,1,6.0
143532,1,2,1,8.0
143555,2,1,1,7.0
143588,2,-1,1,6.0
143610,2,1,1,6.0
143636,1,-2,1,8.0
143643,2,6,2,7.0
143664,2,10,2,7.0
143687,1,2,2,7.0
143725,1,9,2,8.0
143747,2,0,2,10.0
143752,1,4,2,8.0
143775,2,7,2,6.0
143797,1,-2,2,7.0
143818,2,13,2,8.0
143840,1,5,3,8.0
143862,1,5,3,7.0
143901,1,2,3,7.0
143918,1,14,3,7.0
143945,1,6,3,6.0
143951,2,-2,3,7.0
143974,1,9,3,6.0
143995,2,2,3,7.0
144029,1,5,3,7.0
144055,1,1,3,6.0
144060,1,0,3,7.0
144082,1,3,4,7.0
144105,1,9,4,7.0
144127,2,0,4,7.0
144153,3,3,4,7.0
144170,1,5,4,7.0
144192,2,4,4,8.0
144215,1,1,4,8.0
144237,2,-2,4,6.0
144268,2,6,4,6.0
144291,3,0,4,6.0
144313,4,-4,4,6.0
144324,1,0,4,8.0
144345,2,2,4,8.0
144374,1,3,1,7.0
144396,3,3,1,7.0
144411,1,2,1,8.0
144448,2,0,1,6.0
144455,1,8,1,7.0
144477,2,18,1,8.0
144499,1,4,1,7.0
144536,2,-1,1,6.0
144550,1,0,1,8.0
144580,1,11,1,7.0
144586,1,4,1,8.0
144608,1,2,1,8.0
144646,1,15,2,6.0
144668,1,-7,2,6.0
144682,2,1,2,7.0
144704,1,6,2,7.0
144730,1,7,2,6.0
144756,2,2,2,6.0
144762,1,21,2,8.0
144784,1,2,2,6.0
144806,2,3,2,6.0
144844,1,-1,2,7.0
144850,1,-4,3,8.0
144872,1,0,3,8.0
144910,1,2,3,7.0
144924,2,5,3,7.0
144954,1,11,3,6.0
144972,2,4,3,6.0
144990,1,0,3,7.0
145016,1,-5,3,6.0
145027,1,1,3,6.0
145049,1,7,3,7.0
145071,2,-3,4,7.0
145104,1,0,4,6.0
145130,2,2,4,7.0
145151,1,34,4,6.0
145169,1,-4,4,6.0
145181,1,5,4,6.0
145213,1,1,4,7.0
145235,2,12,4,7.0
145257,1,-1,4,8.0
145279,2,8,4,7.0
145301,3,11,4,8.0
145313,1,2,1,8.0
145334,2,3,1,8.0
145356,1,1,1,7.0
145378,1,-2,1,7.0
145399,1,1,1,7.0
145438,1,1,1,7.0
145459,2,2,1,6.0
145466,2,3,1,8.0
145506,2,-1,1,7.0
145526,1,-4,1,6.0
145549,2,-1,1,8.0
145561,2,0,2,6.0
145593,1,5,2,6.0
145614,1,2,2,7.0
145635,1,15,2,6.0
145659,2,19,2,6.0
145681,2,-1,2,7.0
145703,1,2,2,7.0
145725,1,1,2,11.0
145747,2,1,2,11.0
145769,1,17,3,6.0
145790,1,2,3,6.0
145813,2,0,3,6.0
145835,1,-1,3,6.0
145841,1,14,3,8.0
145863,1,20,3,8.0
145885,1,2,3,8.0
145906,1,11,3,8.0
145928,2,-2,3,6.0
145967,2,0,3,7.0
145988,1,18,3,6.0
146011,1,0,4,8.0
146014,1,-2,4,6.0
146055,1,4,4,6.0
146078,2,13,4,7.0
146099,1,8,4,6.0
146120,2,17,4,7.0
146143,1,3,4,8.0
146165,2,1,4,7.0
146187,1,-5,4,8.0
146209,2,4,4,8.0
146231,3,-1,4,7.0
146253,1,-1,4,8.0
146275,2,3,4,8.0
146296,3,1,4,7.0
146315,3,3,4,7.0
146336,4,5,4,8.0
146351,1,8,4,6.0
146373,2,6,4,7.0
146406,1,28,1,7.0
146415,1,4,1,8.0
146437,1,0,1,7.0
146459,2,1,1,7.0
146478,1,11,1,7.0
146503,2,4,1,8.0
146537,1,-2,1,8.0
146558,1,18,1,7.0
146585,2,0,1,8.0
146607,3,1,1,6.0
146625,4,0,1,8.0
146635,1,20,1,8.0
146657,1,3,1,8.0
146691,1,4,1,7.0
146714,1,5,2,7.0
146739,1,7,2,8.0
146749,1,6,2,7.0
146780,1,4,2,7.0
146801,2,7,2,6.0
146811,1,3,2,7.0
146829,1,6,2,7.0
146851,2,3,2,6.0
146878,3,2,2,7.0
146899,1,5,2,7.0
146933,2,10,2,6.0
146939,1,5,2,6.0
146965,1,0,3,7.0
146986,2,3,3,7.0
147014,3,13,3,6.0
147035,1,3,3,7.0
147052,1,2,3,6.0
147088,1,3,3,7.0
147109,2,21,3,6.0
147118,1,18,3,8.0
147141,2,5,3,7.0
147176,2,-2,3,6.0
147201,1,0,3,7.0
147219,1,2,3,7.0
147245,1,4,3,7.0
147264,2,4,3,6.0
147286,1,2,4,7.0
147308,2,3,4,8.0
147333,1,4,4,8.0
147355,2,12,4,8.0
147377,1,33,4,7.0
147379,2,-2,4,7.0
147418,1,7,4,7.0
147440,2,-2,4,8.0
147462,3,4,4,6.0
147467,3,-1,4,7.0
147490,1,2,1,8.0
147512,2,3,1,8.0
147549,1,2,1,8.0
147570,2,4,1,7.0
147596,2,2,1,7.0
147614,1,21,1,6.0
147639,1,0,1,8.0
147646,2,5,1,7.0
147668,2,4,1,8.0
147691,4,3,1,9.0
147710,1,3,1,8.0
147735,1,1,2,11.0
147768,2,3,2,6.0
147790,1,2,2,7.0
147807,2,-1,2,5.0
147824,3,3,2,5.0
147860,1,2,2,8.0
147882,2,7,2,7.0
147899,1,3,2,6.0
147922,2,7,2,6.0
147944,1,6,2,6.0
147970,2,1,2,7.0
147992,1,3,2,6.0
147997,1,9,2,7.0
148019,2,4,2,8.0
148040,1,7,2,7.0
148064,1,8,2,6.0
148086,2,2,2,7.0
148121,2,0,3,6.0
148142,1,6,3,8.0
148159,2,3,3,7.0
148190,3,3,3,7.0
148203,2,10,3,6.0
148225,1,4,3,6.0
148247,2,1,3,6.0
148269,1,11,3,6.0
148283,1,-1,3,7.0
148305,2,6,3,8.0
148327,1,6,3,6.0
148357,1,1,3,7.0
148379,2,9,3,6.0
148394,1,6,3,8.0
148416,1,1,4,6.0
148438,2,3,4,8.0
148476,1,5,4,6.0
148482,1,3,4,8.0
148506,3,4,4,6.0
148523,1,0,4,8.0
148545,1,2,4,8.0
148567,2,4,4,8.0
148589,1,2,4,8.0
148612,2,2,4,8.0
148634,3,-1,4,7.0
148674,1,4,4,6.0
148684,1,2,1,7.0
148705,2,3,1,5.0
148740,2,2,1,7.0
148753,1,5,1,7.0
148771,2,-4,1,7.0
148793,3,5,1,6.0
148819,1,1,1,8.0
148841,2,8,1,6.0
148862,1,3,1,6.0
148884,2,0,2,7.0
148915,1,3,2,6.0
148929,1,12,2,8.0
148951,1,3,2,7.0
148973,2,18,2,8.0
