,Down,Yards
126496,2,2
126521,2,6
126530,1,5
126552,2,0
126579,1,2
126601,3,2
126623,1,2
126644,3,4
126663,1,2
126689,1,2
126707,1,6
126729,2,3
126751,3,4
126774,1,0
126799,1,3
126829,2,17
126851,2,0
126873,3,10
126887,1,3
126909,2,6
126936,3,2
126955,1,5
126977,2,24
126999,2,6
127013,1,36
127035,1,9
127057,2,-1
127087,1,5
127109,3,2
127131,1,5
127154,1,2
127175,2,-1
127203,1,1
127207,1,3
127229,2,0
127255,1,0
127291,1,14
127313,1,7
127335,2,6
127357,1,-2
127365,1,2
127387,1,0
127409,2,1
127439,2,3
127462,1,4
127483,1,1
127497,1,1
127515,1,2
127541,2,0
127564,1,4
127586,2,4
127603,1,21
127629,1,0
127651,2,1
127681,1,1
127695,1,-3
127725,1,5
127741,1,13
127761,1,1
127782,2,4
127813,1,6
127835,2,3
127857,3,0
127869,1,2
127891,2,0
127913,1,0
127935,2,9
127957,3,0
127995,1,2
128017,1,4
128039,2,5
128044,1,4
128067,2,16
128089,1,10
128111,1,5
128132,2,0
128151,3,7
128177,1,3
128199,2,0
128217,3,1
128258,1,4
128265,2,2
128287,3,7
128309,4,-1
128331,1,4
128353,2,3
128375,1,3
128397,1,4
128425,2,1
128457,1,4
128469,2,5
128486,1,-2
128502,2,-1
128535,2,3
128567,2,0
128577,1,9
128608,1,6
128630,2,1
128645,3,2
128677,1,-1
128678,1,0
128708,1,4
128731,1,4
128750,1,1
128772,2,-2
128805,2,2
128827,1,14
128849,1,46
128875,1,6
128897,1,28
128909,1,9
128931,2,0
128959,1,6
128975,2,10
129003,1,5
129025,2,-3
129036,2,3
129058,1,-1
129085,1,5
129107,2,2
129127,1,1
129140,1,1
129162,1,1
129205,1,7
129227,2,-3
129249,1,1
129271,2,-2
129293,3,5
129315,1,4
129324,2,4
129356,1,26
129378,1,2
129400,2,0
129422,3,0
129444,4,-3
129459,1,2
129491,2,20
129512,1,0
129525,2,4
129545,1,14
129566,1,1
129588,2,-1
129606,1,2
129633,1,2
129655,1,1
129676,2,2
129697,3,0
129719,4,2
129742,1,4
129765,2,4
129787,3,-1
129819,1,10
129841,1,5
129864,1,3
129886,3,1
129896,1,0
129921,1,2
129944,2,4
129963,1,1
129984,1,7
130009,1,-1
130040,3,0
130051,1,2
130072,2,5
130093,4,0
130119,1,-3
130150,1,5
130163,2,1
130183,1,14
130205,2,2
130230,2,7
130260,1,2
130273,2,3
130291,3,5
130312,1,7
130333,2,1
130366,1,6
130378,1,1
130400,2,2
130433,1,1
130444,2,-2
130477,1,11
130502,1,1
130510,1,3
130532,2,2
130565,1,0
130586,1,3
130598,1,18
130620,1,3
130642,1,16
130664,1,0
130696,1,4
130708,1,6
130730,2,2
130762,1,6
130774,2,13
130796,2,3
130818,1,4
130840,1,0
130871,1,4
130893,2,5
130915,3,5
130938,1,0
130960,2,0
130972,1,4
130993,1,-2
131016,2,3
131038,1,7
131070,1,1
131082,1,3
131104,2,2
131126,1,7
131148,2,4
131170,1,7
131192,2,1
131213,1,1
131236,1,2
131257,2,7
131280,1,0
131302,1,6
131325,2,3
131346,3,-2
131367,1,1
131390,1,2
131412,2,25
131434,1,2
131457,2,3
131480,1,3
131501,1,-1
131525,1,8
131547,2,1
131561,1,0
131596,1,2
131619,2,1
131642,1,3
131663,2,3
131684,1,8
131708,2,3
131721,1,1
131755,1,4
131775,2,5
131798,3,4
131819,1,11
131832,2,2
131848,1,1
131875,1,-5
131898,1,5
131918,1,0
131940,2,1
131959,3,11
131996,1,5
132017,2,2
132030,1,5
132052,1,-3
132083,2,0
132107,3,5
132117,2,2
132134,1,0
132172,1,7
132195,1,6
132200,2,3
132240,2,2
132259,3,0
132271,1,4
132293,1,3
132310,3,5
132336,1,1
132372,1,4
132394,3,10
132416,1,1
132428,1,3
132450,2,3
132482,1,4
132504,2,-4
132516,1,0
132548,2,8
132560,1,0
132581,2,12
132614,2,-3
132626,1,2
132648,1,1
132670,2,1
132702,1,6
132723,1,3
132746,2,7
132768,1,3
132780,1,-5
132802,1,19
132824,1,4
132846,1,0
132868,2,6
132900,1,7
132922,2,11
132944,2,1
132966,1,4
132988,2,3
133010,1,3
133032,2,2
133054,1,5
133076,1,1
133091,1,11
133120,1,5
133142,2,3
133164,3,2
133172,3,3
133208,1,3
133230,2,5
133252,1,-3
133274,3,2
133281,1,0
133301,1,2
133324,2,-1
133345,1,1
133374,1,3
133405,1,-1
133427,1,0
133449,2,4
133470,3,4
133484,1,1
133514,3,2
133539,1,11
133561,2,5
133581,1,1
133605,1,0
133622,3,3
133649,1,4
133660,2,11
133676,3,6
133715,2,1
133737,2,4
133743,1,3
133764,2,14
133792,1,3
133808,3,22
133847,2,42
133869,1,0
133880,1,2
133902,2,4
133924,1,5
133946,2,0
133963,1,8
133987,2,0
134023,1,2
134034,1,1
134064,3,4
134073,1,2
134094,1,-3
134116,1,3
134138,1,0
134160,2,0
134199,1,2
134221,1,4
134243,2,0
134264,1,9
134287,2,3
134297,1,-1
134319,1,0
134342,1,4
134362,2,11
134385,1,5
134406,1,2
134428,2,-2
134446,1,-4
134477,2,1
134495,1,2
134516,1,7
134539,2,0
134557,1,0
134582,2,3
134604,1,8
134627,2,4
134659,3,8
134682,1,9
134688,2,14
134714,1,3
134735,2,2
134759,1,2
134781,2,1
134803,1,0
134837,2,3
134846,1,-1
134869,1,0
134890,1,2
134913,1,0
134946,2,5
134968,1,8
134990,1,3
134996,1,1
135023,1,2
135045,2,3
135067,1,-2
135089,2,4
135112,2,-6
135145,1,1
135153,2,-3
135185,1,-4
135197,1,2
135229,1,3
135252,2,3
135263,1,3
135284,1,2
135305,1,1
135330,1,1
135361,1,4
135383,1,1
135405,1,3
135427,2,1
135449,1,2
135471,1,4
135482,1,0
135506,1,2
135527,2,1
135559,1,-1
135581,1,5
135603,2,-1
135615,2,2
135637,3,23
135658,1,-1
135691,1,2
135713,2,9
135735,1,-2
135757,2,6
135779,1,0
135801,2,4
135823,1,0
135836,1,0
135867,1,-2
135889,1,2
135902,2,17
135933,1,-7
135947,2,1
135965,1,-1
135990,3,5
136022,1,1
136038,3,36
136064,1,-2
136082,1,1
136102,1,9
136116,2,14
136138,4,25
136160,1,3
136182,1,1
136214,1,6
136226,1,3
136247,1,5
136280,1,5
136306,1,-5
136313,1,6
136336,2,1
136357,1,5
136388,3,9
136402,2,3
136434,2,3
136446,1,2
136476,2,-1
136503,3,0
136512,2,5
136534,1,2
136556,2,16
136586,1,19
136608,1,5
136632,1,-2
136644,1,3
136666,1,11
136696,1,10
136714,1,9
136732,2,9
136762,1,15
136784,1,11
136806,1,11
136820,1,5
136850,2,6
136864,1,4
136886,2,5
136908,3,3
136938,1,3
136960,2,-1
136982,3,9
137004,1,1
137026,2,6
137048,3,0
137070,1,-3
137092,2,2
137114,3,-1
137140,4,0
137158,1,3
137180,2,41
137211,1,-1
137232,1,-1
137255,2,-3
137268,1,5
137290,1,1
137312,2,6
137343,1,14
137365,2,2
137386,1,4
137399,1,2
137420,3,0
137453,1,4
137464,1,37
137497,1,3
137518,2,25
137543,1,1
137562,1,-3
137575,1,7
137607,2,-1
137619,1,7
137640,2,1
137670,2,0
137686,1,4
137708,1,7
137730,2,2
137761,1,1
137783,2,5
137796,1,4
137818,2,1
137840,1,4
137853,2,0
137884,1,3
137906,2,5
137928,3,1
137950,4,4
137972,2,3
137994,1,1
138024,1,2
138046,1,3
138060,1,6
138082,2,6
138104,1,0
138125,1,1
138148,1,6
138170,2,4
138192,1,3
138212,2,2
138236,1,-1
138258,2,4
138289,2,-6
138296,1,0
138318,2,3
138353,1,20
138372,1,21
138394,1,-4
138406,1,10
138428,1,0
138450,4,1
138471,2,6
138493,1,13
138531,1,19
138548,1,10
138575,2,2
138598,1,8
138604,1,-4
138626,2,4
138648,1,3
138670,1,9
138692,2,0
138713,3,2
138736,2,21
138758,1,4
138779,1,6
138801,2,19
138824,1,14
138846,1,6
138882,1,1
138904,1,0
138927,2,4
138933,2,2
138956,1,14
138978,2,8
138999,1,0
139021,1,0
139044,1,-1
139076,1,8
139103,1,7
139110,2,4
139146,1,-2
139168,2,-1
139184,1,5
139206,2,-1
139222,1,0
139244,2,1
139272,1,5
139294,2,4
139316,3,4
139346,2,-5
139354,1,8
139376,2,3
139398,1,2
139420,3,4
139448,1,3
139470,2,9
139486,1,15
139508,2,4
139536,1,8
139558,2,3
139588,1,8
139609,2,0
139632,1,0
139642,1,-9
139662,2,3
139690,1,5
139712,2,1
139734,1,-2
139756,1,9
139778,2,-5
139794,1,9
139816,2,3
139838,2,1
139860,3,5
139882,1,0
139910,2,1
139932,1,1
139948,1,5
139970,1,3
140006,2,0
140014,1,5
140049,1,3
140072,2,-1
140080,1,3
140102,1,-2
140127,1,12
140145,1,3
140168,2,1
140196,2,4
140226,1,5
140234,1,5
140256,2,3
140278,1,-7
140299,1,2
140322,2,1
140344,2,4
140370,1,7
140389,2,2
140409,3,-1
140446,1,2
140467,1,0
140490,2,8
140498,1,1
140534,1,2
140546,2,9
140577,1,4
140600,2,0
140608,1,1
140631,1,5
140653,3,2
140687,1,0
140709,1,3
140732,2,6
140753,3,-1
140768,1,1
140785,1,2
140819,1,8
140841,2,0
140864,1,2
140868,1,13
140893,1,1
140920,1,11
140938,2,-2
140974,1,-1
140986,2,5
141008,2,0
141040,1,2
141046,1,6
141070,2,3
141092,3,0
141118,1,7
141140,2,3
141162,1,5
141184,2,-4
141206,1,-1
141223,1,3
141245,2,-1
141268,3,4
141303,1,4
141325,3,1
141347,1,2
141369,1,1
141391,2,1
141395,1,2
141425,3,3
141453,1,7
141475,2,-2
141483,1,21
141514,1,5
141540,1,3
141562,1,1
141585,1,7
141605,1,4
141626,1,4
141649,1,1
141672,2,4
141689,2,6
141712,2,-1
141740,1,1
141747,1,1
141769,1,2
141791,2,3
141831,1,-1
141844,1,-2
141857,1,0
141886,2,5
141910,1,4
141923,3,1
141959,1,0
141978,2,3
142002,1,2
142011,1,3
142042,2,6
142055,3,0
142090,1,1
142099,2,-3
142139,1,-1
142158,1,-1
142173,2,0
142202,1,-4
142220,1,5
142246,3,21
142266,1,0
142288,1,5
142311,2,8
142333,1,4
142356,2,4
142377,1,2
142399,2,3
142421,3,0
142440,2,3
142461,1,2
142491,1,1
142505,1,9
142527,2,2
142547,1,3
142569,2,7
142591,2,8
142615,1,3
142637,2,1
142657,1,-3
142675,2,8
142709,1,1
142734,2,3
142755,1,6
142779,2,20
142800,2,23
142821,2,6
142834,1,-4
142857,1,5
142880,2,4
142901,1,1
142922,1,13
142943,1,3
142968,3,3
142989,1,2
143010,1,4
143027,2,2
143055,1,2
143087,2,13
143107,1,0
143119,1,-1
143143,1,2
143174,1,4
143187,2,3
143207,1,12
143229,1,1
143261,2,0
143284,1,1
143305,2,2
143329,2,-3
143349,2,5
143371,1,5
143393,1,3
143415,1,7
143433,1,6
143443,2,14
143466,1,1
143488,2,1
143525,1,2
143532,1,2
143555,2,1
143588,2,-1
143610,2,1
143636,1,-2
143643,2,6
143664,2,10
143687,1,2
143725,1,9
143747,2,0
143752,1,4
143775,2,7
143797,1,-2
143818,2,13
143840,1,5
143862,1,5
143901,1,2
143918,1,14
143945,1,6
143951,2,-2
143974,1,9
143995,2,2
144029,1,5
144055,1,1
144060,1,0
144082,1,3
144105,1,9
144127,2,0
144153,3,3
144170,1,5
144192,2,4
144215,1,1
144237,2,-2
144268,2,6
144291,3,0
144313,4,-4
144324,1,0
144345,2,2
144374,1,3
144396,3,3
144411,1,2
144448,2,0
144455,1,8
144477,2,18
144499,1,4
144536,2,-1
144550,1,0
144580,1,11
144586,1,4
144608,1,2
144646,1,15
144668,1,-7
144682,2,1
144704,1,6
144730,1,7
144756,2,2
144762,1,21
144784,1,2
144806,2,3
144844,1,-1
144850,1,-4
144872,1,0
144910,1,2
144924,2,5
144954,1,11
144972,2,4
144990,1,0
145016,1,-5
145027,1,1
145049,1,7
145071,2,-3
145104,1,0
145130,2,2
145151,1,34
145169,1,-4
145181,1,5
145213,1,1
145235,2,12
145257,1,-1
145279,2,8
145301,3,11
145313,1,2
145334,2,3
145356,1,1
145378,1,-2
145399,1,1
145438,1,1
145459,2,2
145466,2,3
145506,2,-1
145526,1,-4
145549,2,-1
145561,2,0
145593,1,5
145614,1,2
145635,1,15
145659,2,19
145681,2,-1
145703,1,2
145725,1,1
145747,2,1
145769,1,17
145790,1,2
145813,2,0
145835,1,-1
145841,1,14
145863,1,20
145885,1,2
145906,1,11
145928,2,-2
145967,2,0
145988,1,18
146011,1,0
146014,1,-2
146055,1,4
146078,2,13
146099,1,8
146120,2,17
146143,1,3
146165,2,1
146187,1,-5
146209,2,4
146231,3,-1
146253,1,-1
146275,2,3
146296,3,1
146315,3,3
146336,4,5
146351,1,8
146373,2,6
146406,1,28
146415,1,4
146437,1,0
146459,2,1
146478,1,11
146503,2,4
146537,1,-2
146558,1,18
146585,2,0
146607,3,1
146625,4,0
146635,1,20
146657,1,3
146691,1,4
146714,1,5
146739,1,7
146749,1,6
146780,1,4
146801,2,7
146811,1,3
146829,1,6
146851,2,3
146878,3,2
146899,1,5
146933,2,10
146939,1,5
146965,1,0
146986,2,3
147014,3,13
147035,1,3
147052,1,2
147088,1,3
147109,2,21
147118,1,18
147141,2,5
147176,2,-2
147201,1,0
147219,1,2
147245,1,4
147264,2,4
147286,1,2
147308,2,3
147333,1,4
147355,2,12
147377,1,33
147379,2,-2
147418,1,7
147440,2,-2
147462,3,4
147467,3,-1
147490,1,2
147512,2,3
147549,1,2
147570,2,4
147596,2,2
147614,1,21
147639,1,0
147646,2,5
147668,2,4
147691,4,3
147710,1,3
147735,1,1
147768,2,3
147790,1,2
147807,2,-1
147824,3,3
147860,1,2
147882,2,7
147899,1,3
147922,2,7
147944,1,6
147970,2,1
147992,1,3
147997,1,9
148019,2,4
148040,1,7
148064,1,8
148086,2,2
148121,2,0
148142,1,6
148159,2,3
148190,3,3
148203,2,10
148225,1,4
148247,2,1
148269,1,11
148283,1,-1
148305,2,6
148327,1,6
148357,1,1
148379,2,9
148394,1,6
148416,1,1
148438,2,3
148476,1,5
148482,1,3
148506,3,4
148523,1,0
148545,1,2
148567,2,4
148589,1,2
148612,2,2
148634,3,-1
148674,1,4
148684,1,2
148705,2,3
148740,2,2
148753,1,5
148771,2,-4
148793,3,5
148819,1,1
148841,2,8
148862,1,3
148884,2,0
148915,1,3
148929,1,12
148951,1,3
148973,2,18
148995,1,1
149026,1,4
149036,1,7
149057,2,11
149082,1,1
149105,1,15
149127,1,4
149149,2,5
149167,1,-5
149189,4,-1
149215,1,7
149237,2,16
149266,1,12
149280,2,3
149302,3,66
149325,1,4
149347,1,0
149365,1,1
149391,1,-2
149423,2,16
149445,1,0
149457,2,2
149479,1,11
149509,1,0
149531,2,2
149544,1,3
149566,2,6
149597,1,3
149619,2,5
149641,3,43
149661,2,4
149666,2,2
149705,1,5
149710,1,4
149741,2,5
149762,1,13
149777,1,2
149798,2,1
149828,1,0
149863,1,-1
149885,2,0
149886,1,-2
149925,2,7
149939,1,16
149960,1,-2
149983,1,-2
150004,2,7
150035,2,3
150040,1,-4
150071,3,0
150101,2,-1
150106,1,5
150129,2,2
150167,2,3
150189,2,2
150211,2,7
150233,1,5
150255,2,5
150277,1,2
150299,1,4
150324,1,3
150346,2,5
150369,1,5
150391,1,3
150410,1,4
150432,2,7
150457,1,-1
150477,2,4
150486,1,2
150508,2,11
150542,1,50
150565,1,4
150575,1,-2
150598,1,3
150619,2,0
150653,2,7
150677,1,4
150699,1,10
150719,1,12
150726,1,4
150748,1,4
150771,1,2
150809,1,4
150831,2,3
150837,1,4
150875,1,5
150882,1,-1
150916,1,0
150927,1,4
150948,1,-1
150983,1,1
151005,1,-2
151016,1,0
151048,3,1
151057,1,10
151079,1,8
151100,2,2
151123,1,-1
151145,2,2
151168,1,6
151203,1,2
151225,2,16
151247,1,7
151268,2,12
151280,1,0
151308,1,5
151330,2,1
151347,1,4
151369,1,8
151390,2,6
151405,1,2
151435,2,-2
151449,1,3
151479,2,4
151506,1,7
151528,1,4
151545,1,29
151559,1,-1
151587,2,9
151610,1,-1
151638,2,1
151655,2,2
151682,1,0
151698,1,2
151720,2,0
151743,1,2
151762,2,-3
151792,1,-1
151808,3,0
151827,3,1
151849,3,8
151875,1,-1
151903,1,1
151924,2,3
151940,2,2
151962,2,4
151991,1,3
152012,1,1
152029,1,4
152051,2,9
152073,1,2
152094,2,2
152116,1,4
152138,2,5
152161,3,3
152175,1,0
152197,2,1
152227,1,1
152249,2,0
152277,1,0
152293,1,12
152315,1,2
152329,2,2
152358,1,3
152381,1,2
152403,2,3
152417,3,2
152459,1,8
152469,1,3
152491,2,4
152512,4,5
152547,2,6
152556,2,1
152579,1,4
152601,2,4
152623,3,-3
152657,2,5
152679,1,2
152701,2,1
152723,4,2
152745,1,-4
152767,1,3
152777,1,5
152811,1,0
152833,2,7
152843,1,1
152877,2,4
152899,1,1
152909,1,-3
152943,1,7
152965,2,1
152967,2,2
153009,2,3
153031,3,1
153053,4,0
153062,1,6
153085,2,4
153106,1,1
153141,2,0
153150,1,9
153173,2,2
153195,1,5
153217,2,-3
153251,1,6
153260,1,3
153282,1,2
153305,1,1
153326,2,5
153349,3,-2
153370,1,3
153405,2,1
153412,1,6
153434,2,7
153464,1,3
153486,2,-3
153502,2,9
153537,1,1
153552,1,-3
153574,1,7
153596,3,3
153618,2,2
153643,1,5
153662,2,13
153684,1,-2
153698,1,1
153720,1,-4
153742,1,1
153772,1,5
153786,1,-3
153823,1,-1
153830,1,-1
153860,1,9
153882,2,1
153896,1,4
153926,1,11
153948,1,1
153970,1,2
153992,2,-3
154006,2,1
154043,2,3
154050,2,5
154072,1,3
154109,1,7
154131,2,1
154153,2,4
154175,3,10
154197,1,3
154219,1,3
154226,1,3
154256,1,1
154278,1,4
154292,1,4
154314,4,-1
154351,1,34
154366,1,6
154388,2,2
154410,1,4
154432,2,0
154454,3,-2
154469,1,6
154491,1,5
154513,1,3
154535,2,6
154565,1,2
154589,1,3
154609,2,-3
154636,4,2
154653,1,13
154667,1,0
154697,1,0
154720,2,4
154741,2,8
154755,1,-1
154785,2,3
154799,1,5
154821,1,5
154843,1,-3
154878,1,3
154896,2,9
154918,3,7
154939,1,-4
154953,1,2
154975,2,0
155006,2,-2
155029,2,2
155039,2,2
155071,1,25
155095,1,6
155115,1,0
155137,2,2
155151,1,8
155182,1,3
155204,1,6
155226,2,4
155239,2,0
155261,3,-1
155291,1,2
155313,1,34
155336,1,2
155358,2,2
155379,1,9
155406,2,3
155424,1,3
155446,2,-1
155467,3,2
155487,1,4
155506,1,3
155528,1,3
155561,1,10
155575,2,9
155599,1,-12
155619,1,11
155649,1,3
155660,1,4
155682,1,7
155704,2,30
155726,1,4
155751,1,36
155764,1,-2
155792,1,3
155814,1,2
155836,2,1
155869,2,2
155886,3,2
155905,1,3
155927,2,2
155946,1,-1
155962,1,16
155990,1,1
156006,1,4
156028,2,-1
156056,1,3
156089,1,-1
156103,1,11
156125,2,3
156144,1,3
156163,2,4
156188,1,4
156210,2,7
156232,1,3
156265,1,2
156284,1,-8
156297,1,2
156331,1,24
156345,1,4
156375,2,-1
156386,1,4
156408,1,9
156430,2,17
156452,1,2
156485,1,3
156496,1,6
156518,2,3
156539,3,-1
156565,1,20
156587,1,31
156606,1,1
156625,2,3
156656,2,5
156678,1,-1
156696,2,1
156722,2,0
156744,2,6
156760,3,7
156782,1,7
156810,2,2
156832,1,3
156853,1,1
156870,1,5
156890,2,3
156913,1,16
156933,1,1
156968,1,9
156989,3,0
156998,1,3
157020,2,8
157052,1,3
157073,2,0
157100,3,-1
157112,1,3
157134,1,0
157156,1,2
157178,2,9
157200,1,1
157227,1,4
157249,1,14
157272,2,5
157298,1,3
157310,1,2
157332,3,1
157360,1,5
157382,1,9
157407,2,3
157430,1,2
157444,3,12
157464,1,12
157492,1,4
157514,1,-3
157530,1,3
157552,2,10
157574,1,0
157602,1,2
157624,2,2
157640,1,2
157662,1,0
157684,2,8
157712,1,3
157734,2,10
157760,2,2
157763,1,-1
157785,2,8
157807,1,2
157843,1,3
157851,1,37
157873,1,27
157911,1,1
157934,1,7
157955,1,-1
157977,1,3
157983,1,-2
158005,2,2
158040,1,0
158065,1,5
158087,2,4
158107,3,4
158115,1,-3
158153,1,-2
158176,2,20
158195,1,7
158219,2,19
158240,1,1
158247,1,6
158284,1,0
158307,2,1
158329,1,10
158351,1,0
158373,1,17
158395,1,4
158416,1,-2
158423,1,32
158451,1,3
158467,2,0
158504,1,10
158526,2,-4
158533,2,7
158555,2,-1
158597,2,10
158619,1,4
158636,2,0
158663,1,2
158685,2,1
158707,1,21
158714,2,2
158746,1,0
158767,2,2
158795,1,2
158813,1,7
158827,1,5
158857,2,6
158882,1,0
158903,2,7
158916,1,0
158938,2,0
158967,1,5
158992,1,2
159010,4,3
159035,1,5
159057,2,3
159080,3,3
159099,2,5
159121,3,3
159136,1,5
159158,2,1
159179,2,6
159209,2,2
159230,1,1
159245,2,5
159277,2,8
159299,1,-3
159311,1,4
159341,1,5
159363,2,-1
159373,3,-5
159400,2,-2
159429,2,1
159453,1,4
159475,2,5
159489,3,3
159511,1,1
159533,2,3
159554,1,4
159575,2,3
159608,2,3
159629,1,5
159637,1,-3
159657,2,4
159693,1,-2
159717,1,2
159736,2,2
159751,1,2
159773,1,3
159796,2,5
159827,1,0
159840,1,8
159862,2,-1
159883,2,4
159905,1,-1
159928,2,0
159949,3,-2
159976,1,4
159997,2,5
160020,3,3
160049,2,5
160052,1,2
160079,1,5
160101,3,3
160117,1,-1
160142,1,4
160161,1,4
160196,2,5
160206,1,0
160240,1,7
160269,2,2
160283,1,1
160299,1,-2
160328,2,25
160357,2,7
160379,1,5
160401,2,4
160423,3,3
160438,2,9
160460,3,2
160470,1,20
160504,1,5
160532,1,0
160536,1,11
160559,2,10
160583,1,3
160614,2,1
160639,4,0
160647,1,12
160668,1,-1
160690,1,3
160716,1,6
160738,2,1
160770,2,11
160779,1,4
160801,2,1
160823,3,4
160856,1,5
160879,2,0
160893,2,6
160908,1,4
160930,2,7
160957,1,4
160989,1,0
161010,2,22
161032,1,1
161054,1,4
161076,1,1
161091,1,-1
161126,1,5
161147,2,1
161160,2,5
161187,1,2
161194,2,-2
161222,3,2
161253,1,4
161275,2,1
161302,1,4
161324,3,4
161340,2,3
161362,1,4
161390,2,2
161407,1,1
161421,1,8
161443,2,1
161468,2,1
161490,1,8
161512,2,11
161539,1,12
161560,1,20
161582,1,-1
161590,1,4
161619,2,71
161634,2,4
161670,2,9
161693,1,8
161720,3,0
161722,1,1
161754,2,8
161766,1,2
161788,1,30
161810,1,5
161832,2,2
161854,1,-2
161886,2,17
161898,1,4
161920,2,-2
161947,3,4
161982,1,-3
162004,2,-2
162010,1,4
162032,2,2
162070,2,69
162092,1,-1
162115,2,4
162121,1,13
162143,1,3
162164,2,1
162202,1,4
162209,1,8
162230,2,7
162253,1,-4
162293,1,-1
162315,2,1
162320,1,-1
162356,1,2
162381,1,-6
162399,3,0
162409,2,3
162429,1,3
162448,1,3
162491,1,6
162495,1,2
162535,1,2
162557,2,2
162561,2,-2
162599,1,-1
162620,1,1
162624,1,1
162648,1,0
162686,2,0
162709,4,0
162714,2,2
162736,1,0
162758,2,-3
162799,1,0
162802,1,3
162824,2,1
162846,3,-1
162875,2,5
162896,2,2
162914,3,3
162941,1,1
162963,1,3
162985,2,0
163006,2,3
163038,1,1
163059,1,13
163083,1,6
163103,1,7
163116,2,-4
163137,1,2
163171,1,-3
163193,2,4
163211,3,2
163237,1,1
163256,2,-1
163282,1,0
163299,3,0
163314,1,-2
163337,1,4
163358,2,-3
163380,1,-1
163414,1,7
163435,1,6
163446,2,9
163467,2,2
163489,1,2
163523,1,5
163545,1,2
163556,2,5
163579,1,9
163599,2,6
163623,1,-2
163650,2,0
163666,2,3
163688,1,2
163711,2,17
163732,1,2
163754,3,2
163776,1,6
163798,2,1
163830,2,3
163838,1,2
163860,1,0
163883,1,1
163905,1,10
163927,1,1
163955,1,0
163971,1,-1
164004,1,5
164014,1,1
164049,1,5
164072,1,3
164092,2,5
164115,1,2
164125,1,1
164146,1,4
164171,1,9
164192,2,9
164214,1,3
164235,1,-6
164257,3,-2
164278,1,-1
164301,1,0
164322,1,46
164345,1,16
164367,1,11
164388,1,2
164419,1,10
164441,1,3
164469,1,1
164490,1,6
164512,1,0
164520,2,2
164554,1,-3
164575,1,8
164586,1,-4
164609,1,0
164630,2,2
164652,1,3
164674,2,-3
164708,1,5
164717,1,2
164741,2,1
164763,1,-4
164784,1,1
164807,2,1
164828,1,5
164850,2,1
164872,3,3
164904,1,5
164933,2,-4
164940,1,-3
164963,2,3
164991,1,6
165014,2,3
165042,3,3
165058,1,6
165081,3,6
165101,2,1
165116,1,1
165138,1,1
165164,1,1
165195,1,4
165218,2,4
165240,1,9
165261,1,6
165274,2,5
165296,3,3
165315,1,1
165340,1,-2
165358,1,11
165380,1,7
165402,2,1
165424,1,1
165446,2,5
165468,1,0
165490,2,1
165522,1,3
165543,1,5
165565,2,2
165578,1,6
165601,1,0
165631,1,5
165658,3,3
165680,1,4
165702,1,6
165724,2,2
165730,1,6
165754,2,9
165776,1,-2
165798,2,3
165820,1,2
165842,2,8
165863,1,1
165886,2,9
165912,1,7
165934,2,1
165951,1,5
165989,2,2
166011,3,0
166017,1,2
166039,1,3
166057,3,11
166099,1,1
166121,1,0
166131,1,9
166152,1,3
166187,1,0
166193,1,2
166211,2,4
166237,1,5
166258,1,6
166285,2,2
166307,1,4
166328,2,4
166350,3,1
166369,4,2
166391,2,4
166429,2,2
166431,1,3
166457,2,0
166495,1,6
166517,2,10
166539,3,11
166548,1,-2
166570,2,7
166605,1,1
166611,2,2
166649,1,-3
166671,1,3
166692,2,11
166714,1,9
166736,2,16
166757,1,8
166781,2,3
166803,2,6
166809,2,-1
166847,1,4
166857,2,9
166891,1,6
166913,2,1
166935,1,11
166957,1,-1
166979,2,5
167001,1,2
167023,1,3
167045,3,1
167067,2,0
167070,1,6
167092,2,4
167115,2,7
167137,1,10
167156,1,4
167197,1,5
167218,2,4
167241,2,3
167264,2,6
167268,2,1
167307,1,20
167329,1,2
167334,1,2
167374,2,5
167390,1,15
167418,1,6
167440,2,1
167443,1,3
167466,1,3
167488,2,9
167509,1,5
167532,2,-1
167560,1,0
167593,1,7
167615,1,5
167637,2,-4
167660,2,9
167681,3,3
167684,1,0
167706,2,3
167736,1,3
167758,1,2
167793,1,-1
167814,1,4
167836,2,2
167857,2,2
167879,1,9
167887,1,3
167904,1,8
167946,1,3
167967,2,1
167990,1,1
168011,2,8
168033,3,14
168056,1,3
168078,2,14
168083,2,14
168105,1,3
168128,2,12
168149,1,10
168171,1,-3
168193,2,6
168232,1,9
168255,2,1
168277,1,19
168294,2,11
168303,1,9
168326,1,13
168348,1,-1
168386,2,7
168409,1,6
168431,2,4
168453,3,4
168474,1,3
168479,1,0
168514,1,3
168523,2,4
168562,1,-4
168585,1,4
168607,2,1
168618,2,0
168633,3,2
168672,2,7
168694,1,3
168716,1,4
168721,1,27
168743,1,11
168765,1,-3
168788,1,0
168826,2,1
168844,3,-2
168854,1,9
168892,1,4
168915,1,6
168936,2,-4
168941,2,10
168964,1,1
168985,4,2
169008,1,4
169029,2,0
169069,1,15
169090,1,0
169113,2,14
169135,1,11
169156,1,-1
169159,1,3
169181,2,1
169212,1,-1
169233,1,1
169247,2,-3
169280,1,-3
169299,1,0
169314,2,2
169355,1,0
169377,2,4
169399,1,2
169421,1,5
169434,1,0
169446,1,1
169468,1,1
169500,2,3
169522,1,5
169544,1,3
169566,2,3
169588,3,14
169599,1,-2
169621,1,3
