,PlayId,Stadium,StadiumType
76604,20171008113379,NRG Stadium,
76626,20171008113678,NRG Stadium,
76648,20171008113699,NRG Stadium,
76670,20171008113737,NRG Stadium,
76692,20171008113775,NRG Stadium,
76714,20171008113931,NRG Stadium,
76736,20171008113952,NRG Stadium,
76758,20171008113990,NRG Stadium,
76780,20171009000051,Soldier Field,outdoor
76802,20171009000072,Soldier Field,outdoor
76824,20171009000141,Soldier Field,outdoor
76846,20171009000184,Soldier Field,outdoor
76868,20171009000321,Soldier Field,outdoor
76890,20171009000406,Soldier Field,outdoor
76912,20171009000550,Soldier Field,outdoor
76934,20171009000571,Soldier Field,outdoor
76956,20171009000650,Soldier Field,outdoor
76978,20171009000695,Soldier Field,outdoor
77000,20171009000716,Soldier Field,outdoor
77022,20171009000901,Soldier Field,outdoor
77044,20171009000963,Soldier Field,outdoor
77066,20171009001149,Soldier Field,outdoor
77088,20171009001216,Soldier Field,outdoor
77110,20171009001320,Soldier Field,outdoor
77132,20171009001418,Soldier Field,outdoor
77154,20171009001546,Soldier Field,outdoor
77176,20171009001567,Soldier Field,outdoor
77198,20171009001612,Soldier Field,outdoor
77220,20171009001657,Soldier Field,outdoor
77242,20171009001678,Soldier Field,outdoor
77264,20171009001772,Soldier Field,outdoor
77286,20171009001968,Soldier Field,outdoor
77308,20171009002276,Soldier Field,outdoor
77330,20171009002297,Soldier Field,outdoor
77352,20171009002437,Soldier Field,outdoor
77374,20171009002458,Soldier Field,outdoor
77396,20171009002503,Soldier Field,outdoor
77418,20171009002610,Soldier Field,outdoor
77440,20171009002631,Soldier Field,outdoor
77462,20171009002676,Soldier Field,outdoor
77484,20171009002914,Soldier Field,outdoor
77506,20171009002959,Soldier Field,outdoor
77528,20171009002980,Soldier Field,outdoor
77550,20171009003050,Soldier Field,outdoor
77572,20171009003104,Soldier Field,outdoor
77594,20171009003125,Soldier Field,outdoor
77616,20171009003149,Soldier Field,outdoor
77638,20171009003224,Soldier Field,outdoor
77660,20171009003262,Soldier Field,outdoor
77682,20171009003315,Soldier Field,outdoor
77704,20171009003336,Soldier Field,outdoor
77726,20171009003425,Soldier Field,outdoor
77748,20171009003489,Soldier Field,outdoor
77770,20171009003555,Soldier Field,outdoor
77792,20171009003667,Soldier Field,outdoor
77814,20171009003721,Soldier Field,outdoor
77836,20171009003841,Soldier Field,outdoor
77858,20171009003862,Soldier Field,outdoor
77880,20171009003984,Soldier Field,outdoor
77902,20171009004005,Soldier Field,outdoor
77924,20171009004093,Soldier Field,outdoor
77946,20171009004208,Soldier Field,outdoor
77968,20171009004229,Soldier Field,outdoor
77990,20171009004267,Soldier Field,outdoor
78012,20171012000050,Bank of America Stadium,outdoor
78034,20171012000119,Bank of America Stadium,outdoor
78056,20171012000169,Bank of America Stadium,outdoor
78078,20171012000420,Bank of America Stadium,outdoor
78100,20171012000441,Bank of America Stadium,outdoor
78122,20171012000462,Bank of America Stadium,outdoor
78144,20171012000641,Bank of America Stadium,outdoor
78166,20171012000686,Bank of America Stadium,outdoor
78188,20171012000735,Bank of America Stadium,outdoor
78210,20171012000851,Bank of America Stadium,outdoor
78232,20171012000979,Bank of America Stadium,outdoor
78254,20171012001102,Bank of America Stadium,outdoor
78276,20171012001230,Bank of America Stadium,outdoor
78298,20171012001323,Bank of America Stadium,outdoor
78320,20171012001344,Bank of America Stadium,outdoor
78342,20171012001399,Bank of America Stadium,outdoor
78364,20171012001483,Bank of America Stadium,outdoor
78386,20171012001558,Bank of America Stadium,outdoor
78408,20171012001579,Bank of America Stadium,outdoor
78430,20171012001600,Bank of America Stadium,outdoor
78452,20171012001642,Bank of America Stadium,outdoor
78474,20171012002180,Bank of America Stadium,outdoor
78496,20171012002580,Bank of America Stadium,outdoor
78518,20171012002647,Bank of America Stadium,outdoor
78540,20171012002668,Bank of America Stadium,outdoor
78562,20171012002744,Bank of America Stadium,outdoor
78584,20171012002765,Bank of America Stadium,outdoor
78606,20171012003096,Bank of America Stadium,outdoor
78628,20171012003317,Bank of America Stadium,outdoor
78650,20171012003453,Bank of America Stadium,outdoor
78672,20171012003573,Bank of America Stadium,outdoor
78694,20171012003672,Bank of America Stadium,outdoor
78716,20171012003827,Bank of America Stadium,outdoor
78738,20171012004090,Bank of America Stadium,outdoor
78760,20171012004111,Bank of America Stadium,outdoor
78782,20171015000076,Mercedes-Benz Stadium,indoor
78804,20171015000167,Mercedes-Benz Stadium,indoor
78826,20171015000243,Mercedes-Benz Stadium,indoor
78848,20171015000295,Mercedes-Benz Stadium,indoor
78870,20171015000396,Mercedes-Benz Stadium,indoor
78892,20171015000417,Mercedes-Benz Stadium,indoor
78914,20171015000525,Mercedes-Benz Stadium,indoor
78936,20171015000570,Mercedes-Benz Stadium,indoor
78958,20171015000639,Mercedes-Benz Stadium,indoor
78980,20171015000764,Mercedes-Benz Stadium,indoor
79002,20171015000785,Mercedes-Benz Stadium,indoor
79024,20171015000806,Mercedes-Benz Stadium,indoor
79046,20171015000844,Mercedes-Benz Stadium,indoor
79068,20171015000865,Mercedes-Benz Stadium,indoor
79090,20171015001036,Mercedes-Benz Stadium,indoor
79112,20171015001116,Mercedes-Benz Stadium,indoor
79134,20171015001200,Mercedes-Benz Stadium,indoor
79156,20171015001243,Mercedes-Benz Stadium,indoor
79178,20171015001264,Mercedes-Benz Stadium,indoor
79200,20171015001285,Mercedes-Benz Stadium,indoor
79222,20171015001339,Mercedes-Benz Stadium,indoor
79244,20171015001360,Mercedes-Benz Stadium,indoor
79266,20171015001478,Mercedes-Benz Stadium,indoor
79288,20171015001516,Mercedes-Benz Stadium,indoor
79310,20171015001649,Mercedes-Benz Stadium,indoor
79332,20171015001871,Mercedes-Benz Stadium,indoor
79354,20171015001964,Mercedes-Benz Stadium,indoor
79376,20171015002007,Mercedes-Benz Stadium,indoor
79398,20171015002057,Mercedes-Benz Stadium,indoor
79420,20171015002078,Mercedes-Benz Stadium,indoor
79442,20171015002152,Mercedes-Benz Stadium,indoor
79464,20171015002295,Mercedes-Benz Stadium,indoor
79486,20171015002381,Mercedes-Benz Stadium,indoor
79508,20171015002435,Mercedes-Benz Stadium,indoor
79530,20171015002493,Mercedes-Benz Stadium,indoor
79552,20171015002589,Mercedes-Benz Stadium,indoor
79574,20171015002610,Mercedes-Benz Stadium,indoor
79596,20171015002702,Mercedes-Benz Stadium,indoor
79618,20171015002800,Mercedes-Benz Stadium,indoor
79640,20171015002913,Mercedes-Benz Stadium,indoor
79662,20171015002990,Mercedes-Benz Stadium,indoor
79684,20171015003011,Mercedes-Benz Stadium,indoor
79706,20171015003111,Mercedes-Benz Stadium,indoor
79728,20171015003132,Mercedes-Benz Stadium,indoor
79750,20171015003153,Mercedes-Benz Stadium,indoor
79772,20171015003174,Mercedes-Benz Stadium,indoor
79794,20171015003219,Mercedes-Benz Stadium,indoor
79816,20171015003240,Mercedes-Benz Stadium,indoor
79838,20171015010085,M&T Stadium,outdoor
79860,20171015010106,M&T Stadium,outdoor
79882,20171015010146,M&T Stadium,outdoor
79904,20171015010167,M&T Stadium,outdoor
79926,20171015010221,M&T Stadium,outdoor
79948,20171015010288,M&T Stadium,outdoor
79970,20171015010320,M&T Stadium,outdoor
79992,20171015010364,M&T Stadium,outdoor
80014,20171015010427,M&T Stadium,outdoor
80036,20171015010474,M&T Stadium,outdoor
80058,20171015010563,M&T Stadium,outdoor
80080,20171015010584,M&T Stadium,outdoor
80102,20171015010638,M&T Stadium,outdoor
80124,20171015010659,M&T Stadium,outdoor
80146,20171015010723,M&T Stadium,outdoor
80168,20171015010848,M&T Stadium,outdoor
80190,20171015010886,M&T Stadium,outdoor
80212,20171015010907,M&T Stadium,outdoor
80234,20171015010928,M&T Stadium,outdoor
80256,20171015010961,M&T Stadium,outdoor
80278,20171015011003,M&T Stadium,outdoor
80300,20171015011024,M&T Stadium,outdoor
80322,20171015011108,M&T Stadium,outdoor
80344,20171015011129,M&T Stadium,outdoor
80366,20171015011150,M&T Stadium,outdoor
80388,20171015011171,M&T Stadium,outdoor
80410,20171015011227,M&T Stadium,outdoor
80432,20171015011248,M&T Stadium,outdoor
80454,20171015011316,M&T Stadium,outdoor
80476,20171015011385,M&T Stadium,outdoor
80498,20171015011436,M&T Stadium,outdoor
80520,20171015011614,M&T Stadium,outdoor
80542,20171015012175,M&T Stadium,outdoor
80564,20171015012196,M&T Stadium,outdoor
80586,20171015012219,M&T Stadium,outdoor
80608,20171015012242,M&T Stadium,outdoor
80630,20171015012263,M&T Stadium,outdoor
80652,20171015012327,M&T Stadium,outdoor
80674,20171015012429,M&T Stadium,outdoor
80696,20171015012474,M&T Stadium,outdoor
80718,20171015012495,M&T Stadium,outdoor
80740,20171015012548,M&T Stadium,outdoor
80762,20171015012569,M&T Stadium,outdoor
80784,20171015012694,M&T Stadium,outdoor
80806,20171015012793,M&T Stadium,outdoor
80828,20171015012894,M&T Stadium,outdoor
80850,20171015012964,M&T Stadium,outdoor
80872,20171015012986,M&T Stadium,outdoor
80894,20171015013021,M&T Stadium,outdoor
80916,20171015013043,M&T Stadium,outdoor
80938,20171015013075,M&T Stadium,outdoor
80960,20171015013096,M&T Stadium,outdoor
80982,20171015013134,M&T Stadium,outdoor
81004,20171015013155,M&T Stadium,outdoor
81026,20171015013176,M&T Stadium,outdoor
81048,20171015013394,M&T Stadium,outdoor
81070,20171015013415,M&T Stadium,outdoor
81092,20171015013436,M&T Stadium,outdoor
81114,20171015013486,M&T Stadium,outdoor
81136,20171015013507,M&T Stadium,outdoor
81158,20171015013594,M&T Stadium,outdoor
81180,20171015013615,M&T Stadium,outdoor
81202,20171015014006,M&T Stadium,outdoor
81224,20171015014027,M&T Stadium,outdoor
81246,20171015014065,M&T Stadium,outdoor
81268,20171015014247,M&T Stadium,outdoor
81290,20171015014404,M&T Stadium,outdoor
81312,20171015014549,M&T Stadium,outdoor
81334,20171015014570,M&T Stadium,outdoor
81356,20171015014633,M&T Stadium,outdoor
81378,20171015014654,M&T Stadium,outdoor
81400,20171015014721,M&T Stadium,outdoor
81422,20171015014742,M&T Stadium,outdoor
81444,20171015014763,M&T Stadium,outdoor
81466,20171015020076,NRG Stadium,
81488,20171015020142,NRG Stadium,
81510,20171015020185,NRG Stadium,
81532,20171015020196,NRG Stadium,
81554,20171015020307,NRG Stadium,
81576,20171015020328,NRG Stadium,
81598,20171015020515,NRG Stadium,
81620,20171015020634,NRG Stadium,
81642,20171015020765,NRG Stadium,
81664,20171015020810,NRG Stadium,
81686,20171015020911,NRG Stadium,
81708,20171015020982,NRG Stadium,
81730,20171015021003,NRG Stadium,
81752,20171015021024,NRG Stadium,
81774,20171015021045,NRG Stadium,
81796,20171015021066,NRG Stadium,
81818,20171015021369,NRG Stadium,
81840,20171015021491,NRG Stadium,
81862,20171015021627,NRG Stadium,
81884,20171015021672,NRG Stadium,
81906,20171015021920,NRG Stadium,
81928,20171015022288,NRG Stadium,
81950,20171015022384,NRG Stadium,
81972,20171015022410,NRG Stadium,
81994,20171015022498,NRG Stadium,
82016,20171015022519,NRG Stadium,
82038,20171015022694,NRG Stadium,
82060,20171015022761,NRG Stadium,
82082,20171015022828,NRG Stadium,
82104,20171015022873,NRG Stadium,
82126,20171015022894,NRG Stadium,
82148,20171015022966,NRG Stadium,
82170,20171015023196,NRG Stadium,
82192,20171015023258,NRG Stadium,
82214,20171015023332,NRG Stadium,
82236,20171015023453,NRG Stadium,
82258,20171015023598,NRG Stadium,
82280,20171015023639,NRG Stadium,
82302,20171015023779,NRG Stadium,
82324,20171015023824,NRG Stadium,
82346,20171015023912,NRG Stadium,
82368,20171015023933,NRG Stadium,
82390,20171015023954,NRG Stadium,
82412,20171015024178,NRG Stadium,
82434,20171015030076,U.S. Bank Stadium,indoor
82456,20171015030138,U.S. Bank Stadium,indoor
82478,20171015030226,U.S. Bank Stadium,indoor
82500,20171015030247,U.S. Bank Stadium,indoor
82522,20171015030268,U.S. Bank Stadium,indoor
82544,20171015030354,U.S. Bank Stadium,indoor
82566,20171015030375,U.S. Bank Stadium,indoor
82588,20171015030419,U.S. Bank Stadium,indoor
82610,20171015030465,U.S. Bank Stadium,indoor
82632,20171015030608,U.S. Bank Stadium,indoor
82654,20171015030662,U.S. Bank Stadium,indoor
82676,20171015030831,U.S. Bank Stadium,indoor
82698,20171015030852,U.S. Bank Stadium,indoor
82720,20171015031045,U.S. Bank Stadium,indoor
82742,20171015031127,U.S. Bank Stadium,indoor
82764,20171015031148,U.S. Bank Stadium,indoor
82786,20171015031188,U.S. Bank Stadium,indoor
82808,20171015031209,U.S. Bank Stadium,indoor
82830,20171015031443,U.S. Bank Stadium,indoor
82852,20171015031488,U.S. Bank Stadium,indoor
82874,20171015031531,U.S. Bank Stadium,indoor
82896,20171015031647,U.S. Bank Stadium,indoor
82918,20171015031745,U.S. Bank Stadium,indoor
82940,20171015031878,U.S. Bank Stadium,indoor
82962,20171015032106,U.S. Bank Stadium,indoor
82984,20171015032199,U.S. Bank Stadium,indoor
83006,20171015032293,U.S. Bank Stadium,indoor
83028,20171015032376,U.S. Bank Stadium,indoor
83050,20171015032495,U.S. Bank Stadium,indoor
83072,20171015032544,U.S. Bank Stadium,indoor
83094,20171015032589,U.S. Bank Stadium,indoor
83116,20171015032726,U.S. Bank Stadium,indoor
83138,20171015032810,U.S. Bank Stadium,indoor
83160,20171015032831,U.S. Bank Stadium,indoor
83182,20171015032900,U.S. Bank Stadium,indoor
83204,20171015032921,U.S. Bank Stadium,indoor
83226,20171015032988,U.S. Bank Stadium,indoor
83248,20171015033033,U.S. Bank Stadium,indoor
83270,20171015033054,U.S. Bank Stadium,indoor
83292,20171015033148,U.S. Bank Stadium,indoor
83314,20171015033169,U.S. Bank Stadium,indoor
83336,20171015033272,U.S. Bank Stadium,indoor
83358,20171015033293,U.S. Bank Stadium,indoor
83380,20171015033355,U.S. Bank Stadium,indoor
83402,20171015033407,U.S. Bank Stadium,indoor
83424,20171015033428,U.S. Bank Stadium,indoor
83446,20171015033536,U.S. Bank Stadium,indoor
83468,20171015033644,U.S. Bank Stadium,indoor
83490,20171015033768,U.S. Bank Stadium,indoor
83512,20171015033949,U.S. Bank Stadium,indoor
83534,20171015033970,U.S. Bank Stadium,indoor
83556,20171015034045,U.S. Bank Stadium,indoor
83578,20171015034066,U.S. Bank Stadium,indoor
83600,20171015040060,Mercedes-Benz Superdome,indoor
83622,20171015040105,Mercedes-Benz Superdome,indoor
83644,20171015040154,Mercedes-Benz Superdome,indoor
83666,20171015040235,Mercedes-Benz Superdome,indoor
83688,20171015040312,Mercedes-Benz Superdome,indoor
83710,20171015040366,Mercedes-Benz Superdome,indoor
83732,20171015040436,Mercedes-Benz Superdome,indoor
83754,20171015040541,Mercedes-Benz Superdome,indoor
83776,20171015040562,Mercedes-Benz Superdome,indoor
83798,20171015040703,Mercedes-Benz Superdome,indoor
83820,20171015040813,Mercedes-Benz Superdome,indoor
83842,20171015040834,Mercedes-Benz Superdome,indoor
83864,20171015040902,Mercedes-Benz Superdome,indoor
83886,20171015041001,Mercedes-Benz Superdome,indoor
83908,20171015041045,Mercedes-Benz Superdome,indoor
83930,20171015041149,Mercedes-Benz Superdome,indoor
83952,20171015041161,Mercedes-Benz Superdome,indoor
83974,20171015041236,Mercedes-Benz Superdome,indoor
83996,20171015041257,Mercedes-Benz Superdome,indoor
84018,20171015041327,Mercedes-Benz Superdome,indoor
84040,20171015041353,Mercedes-Benz Superdome,indoor
84062,20171015041490,Mercedes-Benz Superdome,indoor
84084,20171015041539,Mercedes-Benz Superdome,indoor
84106,20171015041647,Mercedes-Benz Superdome,indoor
84128,20171015041692,Mercedes-Benz Superdome,indoor
84150,20171015041734,Mercedes-Benz Superdome,indoor
84172,20171015041783,Mercedes-Benz Superdome,indoor
84194,20171015041823,Mercedes-Benz Superdome,indoor
84216,20171015041863,Mercedes-Benz Superdome,indoor
84238,20171015041901,Mercedes-Benz Superdome,indoor
84260,20171015042479,Mercedes-Benz Superdome,indoor
84282,20171015042575,Mercedes-Benz Superdome,indoor
84304,20171015042710,Mercedes-Benz Superdome,indoor
84326,20171015042768,Mercedes-Benz Superdome,indoor
84348,20171015042789,Mercedes-Benz Superdome,indoor
84370,20171015042813,Mercedes-Benz Superdome,indoor
84392,20171015042979,Mercedes-Benz Superdome,indoor
84414,20171015043363,Mercedes-Benz Superdome,indoor
84436,20171015043667,Mercedes-Benz Superdome,indoor
84458,20171015043784,Mercedes-Benz Superdome,indoor
84480,20171015043902,Mercedes-Benz Superdome,indoor
84502,20171015044408,Mercedes-Benz Superdome,indoor
84524,20171015044518,Mercedes-Benz Superdome,indoor
84546,20171015044778,Mercedes-Benz Superdome,indoor
84568,20171015044816,Mercedes-Benz Superdome,indoor
84590,20171015045059,Mercedes-Benz Superdome,indoor
84612,20171015045097,Mercedes-Benz Superdome,indoor
84634,20171015045219,Mercedes-Benz Superdome,indoor
84656,20171015050126,MetLife,outdoor
84678,20171015050231,MetLife,outdoor
84700,20171015050304,MetLife,outdoor
84722,20171015050325,MetLife,outdoor
84744,20171015050401,MetLife,outdoor
84766,20171015050422,MetLife,outdoor
84788,20171015050515,MetLife,outdoor
84810,20171015050599,MetLife,outdoor
84832,20171015050691,MetLife,outdoor
84854,20171015050712,MetLife,outdoor
84876,20171015050733,MetLife,outdoor
84898,20171015050807,MetLife,outdoor
84920,20171015050912,MetLife,outdoor
84942,20171015050957,MetLife,outdoor
84964,20171015051170,MetLife,outdoor
84986,20171015051268,MetLife,outdoor
85008,20171015051383,MetLife,outdoor
85030,20171015051404,MetLife,outdoor
85052,20171015051425,MetLife,outdoor
85074,20171015051480,MetLife,outdoor
85096,20171015051564,MetLife,outdoor
85118,20171015051585,MetLife,outdoor
85140,20171015051606,MetLife,outdoor
85162,20171015051728,MetLife,outdoor
85184,20171015052139,MetLife,outdoor
85206,20171015052485,MetLife,outdoor
85228,20171015052535,MetLife,outdoor
85250,20171015052638,MetLife,outdoor
85272,20171015052798,MetLife,outdoor
85294,20171015052918,MetLife,outdoor
85316,20171015052999,MetLife,outdoor
85338,20171015053044,MetLife,outdoor
85360,20171015053126,MetLife,outdoor
85382,20171015053180,MetLife,outdoor
85404,20171015053203,MetLife,outdoor
85426,20171015053250,MetLife,outdoor
85448,20171015053271,MetLife,outdoor
85470,20171015053399,MetLife,outdoor
85492,20171015053454,MetLife,outdoor
85514,20171015053499,MetLife,outdoor
85536,20171015053555,MetLife,outdoor
85558,20171015053576,MetLife,outdoor
85580,20171015053667,MetLife,outdoor
85602,20171015053853,MetLife,outdoor
85624,20171015054085,MetLife,outdoor
85646,20171015060069,FedExField,outdoor
85668,20171015060094,FedExField,outdoor
85690,20171015060179,FedExField,outdoor
85712,20171015060224,FedExField,outdoor
85734,20171015060296,FedExField,outdoor
85756,20171015060321,FedExField,outdoor
85778,20171015060383,FedExField,outdoor
85800,20171015060480,FedExField,outdoor
85822,20171015060601,FedExField,outdoor
85844,20171015060686,FedExField,outdoor
85866,20171015060731,FedExField,outdoor
85888,20171015060776,FedExField,outdoor
85910,20171015060868,FedExField,outdoor
85932,20171015061022,FedExField,outdoor
85954,20171015061072,FedExField,outdoor
85976,20171015061175,FedExField,outdoor
85998,20171015061522,FedExField,outdoor
86020,20171015061665,FedExField,outdoor
86042,20171015061810,FedExField,outdoor
86064,20171015061855,FedExField,outdoor
86086,20171015061930,FedExField,outdoor
86108,20171015062395,FedExField,outdoor
86130,20171015062469,FedExField,outdoor
86152,20171015062490,FedExField,outdoor
86174,20171015062564,FedExField,outdoor
86196,20171015062585,FedExField,outdoor
86218,20171015062630,FedExField,outdoor
86240,20171015062767,FedExField,outdoor
86262,20171015062850,FedExField,outdoor
86284,20171015062976,FedExField,outdoor
86306,20171015063003,FedExField,outdoor
86328,20171015063024,FedExField,outdoor
86350,20171015063045,FedExField,outdoor
86372,20171015063213,FedExField,outdoor
86394,20171015063298,FedExField,outdoor
86416,20171015063340,FedExField,outdoor
86438,20171015063429,FedExField,outdoor
86460,20171015063498,FedExField,outdoor
86482,20171015063547,FedExField,outdoor
86504,20171015063613,FedExField,outdoor
86526,20171015063692,FedExField,outdoor
86548,20171015063759,FedExField,outdoor
86570,20171015063875,FedExField,outdoor
86592,20171015063954,FedExField,outdoor
86614,20171015063999,FedExField,outdoor
86636,20171015064300,FedExField,outdoor
86658,20171015064338,FedExField,outdoor
86680,20171015064376,FedExField,outdoor
86702,20171015070052,University of Phoenix Stadium,
86724,20171015070097,University of Phoenix Stadium,
86746,20171015070118,University of Phoenix Stadium,
86768,20171015070173,University of Phoenix Stadium,
86790,20171015070258,University of Phoenix Stadium,
86812,20171015070303,University of Phoenix Stadium,
86834,20171015070406,University of Phoenix Stadium,
86856,20171015070499,University of Phoenix Stadium,
86878,20171015070520,University of Phoenix Stadium,
86900,20171015070618,University of Phoenix Stadium,
86922,20171015070687,University of Phoenix Stadium,
86944,20171015070708,University of Phoenix Stadium,
86966,20171015070846,University of Phoenix Stadium,
86988,20171015070884,University of Phoenix Stadium,
87010,20171015070905,University of Phoenix Stadium,
87032,20171015071234,University of Phoenix Stadium,
87054,20171015071279,University of Phoenix Stadium,
87076,20171015071300,University of Phoenix Stadium,
87098,20171015071412,University of Phoenix Stadium,
87120,20171015071540,University of Phoenix Stadium,
87142,20171015071624,University of Phoenix Stadium,
87164,20171015071691,University of Phoenix Stadium,
87186,20171015071992,University of Phoenix Stadium,
87208,20171015072039,University of Phoenix Stadium,
87230,20171015072060,University of Phoenix Stadium,
87252,20171015072081,University of Phoenix Stadium,
87274,20171015072214,University of Phoenix Stadium,
87296,20171015072259,University of Phoenix Stadium,
87318,20171015072280,University of Phoenix Stadium,
87340,20171015072392,University of Phoenix Stadium,
87362,20171015072444,University of Phoenix Stadium,
87384,20171015072585,University of Phoenix Stadium,
87406,20171015072606,University of Phoenix Stadium,
87428,20171015072670,University of Phoenix Stadium,
87450,20171015072776,University of Phoenix Stadium,
87472,20171015072841,University of Phoenix Stadium,
87494,20171015072862,University of Phoenix Stadium,
87516,20171015073091,University of Phoenix Stadium,
87538,20171015073145,University of Phoenix Stadium,
87560,20171015073166,University of Phoenix Stadium,
87582,20171015073243,University of Phoenix Stadium,
87604,20171015073287,University of Phoenix Stadium,
87626,20171015073462,University of Phoenix Stadium,
87648,20171015073850,University of Phoenix Stadium,
87670,20171015073871,University of Phoenix Stadium,
87692,20171015073969,University of Phoenix Stadium,
87714,20171015074014,University of Phoenix Stadium,
87736,20171015074067,University of Phoenix Stadium,
87758,20171015080095,EverBank Field,outdoor
87780,20171015080160,EverBank Field,outdoor
87802,20171015080181,EverBank Field,outdoor
87824,20171015080202,EverBank Field,outdoor
87846,20171015080277,EverBank Field,outdoor
87868,20171015080298,EverBank Field,outdoor
87890,20171015080380,EverBank Field,outdoor
87912,20171015080488,EverBank Field,outdoor
87934,20171015080514,EverBank Field,outdoor
87956,20171015080670,EverBank Field,outdoor
87978,20171015080923,EverBank Field,outdoor
88000,20171015081023,EverBank Field,outdoor
88022,20171015081085,EverBank Field,outdoor
88044,20171015081170,EverBank Field,outdoor
88066,20171015081197,EverBank Field,outdoor
88088,20171015081300,EverBank Field,outdoor
88110,20171015081326,EverBank Field,outdoor
88132,20171015081417,EverBank Field,outdoor
88154,20171015081460,EverBank Field,outdoor
88176,20171015081481,EverBank Field,outdoor
88198,20171015081619,EverBank Field,outdoor
88220,20171015081646,EverBank Field,outdoor
88242,20171015081797,EverBank Field,outdoor
88264,20171015082222,EverBank Field,outdoor
88286,20171015082243,EverBank Field,outdoor
88308,20171015082285,EverBank Field,outdoor
88330,20171015082318,EverBank Field,outdoor
88352,20171015082412,EverBank Field,outdoor
88374,20171015082534,EverBank Field,outdoor
88396,20171015082555,EverBank Field,outdoor
88418,20171015082576,EverBank Field,outdoor
88440,20171015082597,EverBank Field,outdoor
88462,20171015082653,EverBank Field,outdoor
88484,20171015082821,EverBank Field,outdoor
88506,20171015082847,EverBank Field,outdoor
88528,20171015082890,EverBank Field,outdoor
88550,20171015082935,EverBank Field,outdoor
88572,20171015083016,EverBank Field,outdoor
88594,20171015083122,EverBank Field,outdoor
88616,20171015083154,EverBank Field,outdoor
88638,20171015083199,EverBank Field,outdoor
88660,20171015083316,EverBank Field,outdoor
88682,20171015083342,EverBank Field,outdoor
88704,20171015083544,EverBank Field,outdoor
88726,20171015083565,EverBank Field,outdoor
88748,20171015083614,EverBank Field,outdoor
88770,20171015083659,EverBank Field,outdoor
88792,20171015083680,EverBank Field,outdoor
88814,20171015083718,EverBank Field,outdoor
88836,20171015083754,EverBank Field,outdoor
88858,20171015083792,EverBank Field,outdoor
88880,20171015083830,EverBank Field,outdoor
88902,20171015090063,Arrowhead Stadium,outdoor
88924,20171015090125,Arrowhead Stadium,outdoor
88946,20171015090170,Arrowhead Stadium,outdoor
88968,20171015090191,Arrowhead Stadium,outdoor
88990,20171015090233,Arrowhead Stadium,outdoor
89012,20171015090298,Arrowhead Stadium,outdoor
89034,20171015090425,Arrowhead Stadium,outdoor
89056,20171015090545,Arrowhead Stadium,outdoor
89078,20171015090653,Arrowhead Stadium,outdoor
89100,20171015090674,Arrowhead Stadium,outdoor
89122,20171015090695,Arrowhead Stadium,outdoor
89144,20171015090775,Arrowhead Stadium,outdoor
89166,20171015090796,Arrowhead Stadium,outdoor
89188,20171015090817,Arrowhead Stadium,outdoor
89210,20171015090874,Arrowhead Stadium,outdoor
89232,20171015091118,Arrowhead Stadium,outdoor
89254,20171015091395,Arrowhead Stadium,outdoor
89276,20171015091416,Arrowhead Stadium,outdoor
89298,20171015091461,Arrowhead Stadium,outdoor
89320,20171015091504,Arrowhead Stadium,outdoor
89342,20171015091581,Arrowhead Stadium,outdoor
89364,20171015091663,Arrowhead Stadium,outdoor
89386,20171015091814,Arrowhead Stadium,outdoor
89408,20171015091835,Arrowhead Stadium,outdoor
89430,20171015091937,Arrowhead Stadium,outdoor
89452,20171015091958,Arrowhead Stadium,outdoor
89474,20171015092102,Arrowhead Stadium,outdoor
89496,20171015092200,Arrowhead Stadium,outdoor
89518,20171015092269,Arrowhead Stadium,outdoor
89540,20171015092301,Arrowhead Stadium,outdoor
89562,20171015092604,Arrowhead Stadium,outdoor
89584,20171015092625,Arrowhead Stadium,outdoor
89606,20171015092646,Arrowhead Stadium,outdoor
89628,20171015092693,Arrowhead Stadium,outdoor
89650,20171015092714,Arrowhead Stadium,outdoor
89672,20171015092735,Arrowhead Stadium,outdoor
89694,20171015092756,Arrowhead Stadium,outdoor
89716,20171015092777,Arrowhead Stadium,outdoor
89738,20171015093074,Arrowhead Stadium,outdoor
89760,20171015093119,Arrowhead Stadium,outdoor
89782,20171015093140,Arrowhead Stadium,outdoor
89804,20171015093382,Arrowhead Stadium,outdoor
89826,20171015093420,Arrowhead Stadium,outdoor
89848,20171015100060,Oakland-Alameda County Coliseum,outdoor
89870,20171015100084,Oakland-Alameda County Coliseum,outdoor
89892,20171015100168,Oakland-Alameda County Coliseum,outdoor
89914,20171015100241,Oakland-Alameda County Coliseum,outdoor
89936,20171015100330,Oakland-Alameda County Coliseum,outdoor
89958,20171015100361,Oakland-Alameda County Coliseum,outdoor
89980,20171015100382,Oakland-Alameda County Coliseum,outdoor
90002,20171015100429,Oakland-Alameda County Coliseum,outdoor
90024,20171015100474,Oakland-Alameda County Coliseum,outdoor
90046,20171015100522,Oakland-Alameda County Coliseum,outdoor
90068,20171015100545,Oakland-Alameda County Coliseum,outdoor
90090,20171015100641,Oakland-Alameda County Coliseum,outdoor
90112,20171015100697,Oakland-Alameda County Coliseum,outdoor
90134,20171015100812,Oakland-Alameda County Coliseum,outdoor
90156,20171015100921,Oakland-Alameda County Coliseum,outdoor
90178,20171015100966,Oakland-Alameda County Coliseum,outdoor
