,DefendersInTheBox,Yards
102045,7,5
102066,8,-5
102096,7,4
102118,8,1
102131,6,1
102162,7,1
102183,7,4
102206,8,5
102227,8,-1
102251,6,6
102271,7,0
102293,7,6
102317,7,5
102341,7,2
102360,7,3
102382,6,8
102404,7,3
102426,7,11
102448,7,2
102458,7,5
102480,6,0
102502,8,1
102536,8,3
102558,7,1
102573,6,25
102596,8,1
102618,7,1
102646,6,1
102672,6,5
102683,6,2
102705,8,2
102727,6,17
102750,6,0
102779,6,7
102800,7,8
102822,6,3
102844,8,3
102866,7,-1
102877,6,-1
102910,6,-1
102920,7,1
102954,7,3
102976,7,15
102998,7,2
103020,8,4
103042,7,6
103064,7,1
103086,7,8
103108,7,-4
103118,6,8
103152,6,0
103174,7,9
103196,7,12
103218,7,-1
103240,7,-2
103266,8,0
103273,7,1
103305,7,6
103328,8,3
103350,7,4
103372,7,5
103394,7,3
103416,8,2
103438,7,4
103459,9,3
103487,8,10
103509,8,4
103519,7,5
103541,7,14
103562,7,5
103585,7,1
103615,8,2
103629,7,4
103651,6,3
103673,7,5
103694,7,25
103724,6,12
103751,6,5
103756,8,1
103790,7,-1
103806,7,13
103827,7,-1
103849,6,6
103870,7,3
103893,6,4
103927,7,-3
103945,7,-2
103959,8,2
103981,8,1
104012,8,12
104037,7,3
104056,8,2
104076,7,16
104098,6,2
104113,6,13
104135,6,2
104163,6,9
104186,6,7
104208,5,-1
104230,6,0
104251,6,-4
104267,7,7
104289,7,5
104304,7,14
104333,8,14
104355,8,3
104377,7,2
104399,8,4
104420,6,10
104443,7,3
104465,6,6
104486,8,1
104509,7,3
104538,6,14
104552,7,3
104574,8,4
104596,7,45
104618,7,-2
104639,7,-1
104662,7,5
104684,7,0
104706,8,7
104724,7,3
104746,6,3
104781,11,0
104803,11,0
104825,11,0
104847,11,0
104861,8,3
104877,8,2
104896,7,-2
104922,6,3
104958,8,2
104962,7,1
105001,8,2
105010,6,-2
105049,8,5
105071,6,9
105091,7,3
105103,7,0
105124,6,6
105156,6,1
105181,7,6
105203,6,2
105221,7,2
105226,8,3
105248,5,0
105289,6,3
105295,6,5
105317,6,11
105339,6,3
105362,7,7
105383,6,9
105423,7,11
105445,7,1
105467,8,4
105485,6,0
105504,7,4
105528,7,21
105551,9,2
105573,8,-3
105595,10,0
105617,9,4
105639,9,2
105661,10,-1
105673,6,7
105705,8,4
105727,8,2
105749,8,3
105757,8,3
105780,6,2
105801,7,12
105824,6,2
105846,8,4
105867,7,3
105889,10,-3
105916,7,1
105947,8,6
105969,8,2
105991,8,1
106000,7,5
106026,5,2
106044,6,2
106082,7,3
106096,6,6
106126,7,0
106130,7,3
106154,6,3
106184,6,-2
106198,7,0
106231,6,5
106254,7,7
106263,7,4
106303,8,2
106325,8,1
106332,8,9
106354,7,2
106375,7,5
106402,5,-2
106430,8,5
106442,8,5
106464,7,1
106486,8,2
106512,8,10
106531,7,1
106554,7,1
106582,7,0
106604,8,3
106627,7,2
106642,7,2
106674,5,2
106686,5,4
106708,6,1
106727,6,5
106750,6,-3
106772,7,1
106796,7,0
106827,8,0
106847,7,25
106868,6,4
106893,7,5
106915,6,9
106937,9,3
106959,7,9
106981,7,2
107003,7,9
107025,8,2
107047,6,0
107058,6,11
107092,6,5
107114,6,8
107136,7,4
107148,6,2
107170,5,6
107190,5,4
107213,7,21
107237,7,3
107264,7,2
107286,7,2
107309,8,4
107331,8,4
107355,11,-2
107367,6,9
107387,5,10
107410,7,8
107432,7,0
107456,9,-5
107487,8,3
107509,8,1
107531,7,7
107553,7,14
107565,6,4
107594,8,2
107616,8,7
107638,8,8
107660,8,13
107678,8,6
107700,7,1
107716,7,2
107755,7,3
107767,7,2
107787,7,3
107810,7,-2
107841,6,2
107854,7,8
107887,6,2
107909,8,4
107913,7,4
107942,8,-2
107965,6,3
107980,8,4
108019,7,5
108041,6,9
108063,7,0
108067,7,2
108106,8,4
108119,10,-3
108141,6,2
108173,5,21
108185,8,2
108201,7,4
108229,7,1
108251,7,-7
108272,7,-1
108288,6,7
108317,7,2
108349,7,-2
108371,7,6
108387,6,2
108405,7,5
108427,8,-5
108447,6,6
108479,8,0
108493,8,21
108515,8,4
108537,7,3
108559,7,-1
108573,4,15
108600,8,21
108621,7,-2
108656,7,5
108678,6,5
108688,7,-3
108722,6,2
108732,8,-2
108765,8,5
108775,7,4
108798,8,1
108819,6,5
108854,7,19
108876,7,6
108897,6,9
108919,7,-1
108930,7,1
108963,8,1
108986,8,13
109005,8,4
109029,6,6
109039,7,0
109073,7,0
109095,9,4
109116,10,-1
109127,7,-1
109162,5,0
109182,6,6
109204,6,1
109228,7,12
109250,8,5
109270,8,7
109292,8,1
109304,8,1
109338,7,0
109360,6,0
109380,8,2
109404,6,6
109413,8,-3
109448,7,19
109470,7,3
109491,7,-1
109501,6,1
109535,8,4
109558,6,10
109577,8,3
109599,8,9
109621,7,2
109659,8,0
109680,6,1
109701,6,2
109723,6,6
109745,7,12
109767,7,4
109789,6,-3
109807,7,2
109829,6,-1
109860,6,26
109872,6,1
109894,6,4
109917,7,-4
109938,6,2
109970,7,7
109982,8,4
110004,6,10
110029,6,-1
110058,6,2
110080,6,1
110102,6,4
110115,7,7
110136,7,2
110159,7,-2
110181,6,8
110212,8,3
110225,6,9
110247,7,6
110269,7,5
110300,7,3
110322,7,5
110344,10,0
110366,6,6
110379,7,2
110410,7,13
110432,7,1
110445,7,-6
110476,6,7
110498,5,5
110520,6,1
110532,7,8
110554,8,1
110576,7,1
110599,8,6
110620,10,1
110652,6,6
110664,6,4
110686,7,0
110708,7,1
110731,8,-2
110752,7,8
110774,8,-3
110797,8,10
110819,7,6
110841,9,2
110863,9,-1
110885,9,-2
110912,7,4
110933,7,4
110956,6,-2
110974,8,2
110996,10,1
111024,5,2
111046,7,-1
111070,6,3
111088,6,10
111112,7,4
111132,6,4
111156,7,14
111178,7,4
111200,9,-3
111220,6,-1
111242,6,5
111264,7,1
111288,7,6
111310,7,5
111330,6,3
111352,6,7
111376,7,3
111398,7,6
111420,7,7
111442,8,8
111464,7,2
111484,7,2
111508,8,18
111530,7,1
111552,8,6
111574,8,7
111596,8,3
111618,11,-1
111640,7,1
111660,5,14
111684,8,7
111706,8,-1
111728,8,4
111750,8,5
111775,8,2
111796,7,6
111816,8,0
111838,6,-4
111860,9,48
111884,8,3
111893,7,3
111915,7,7
111945,8,0
111973,7,4
111996,7,10
112017,6,-2
112044,7,-1
112066,6,3
112078,8,8
112100,7,2
112113,7,6
112135,7,3
112157,7,3
112188,6,3
112201,6,15
112232,6,-2
112245,8,2
112286,8,2
112308,8,0
112320,6,5
112353,7,5
112369,8,-1
112396,7,-2
112419,7,-1
112435,7,2
112443,7,5
112465,7,4
112487,6,4
112517,7,4
112539,6,5
112553,9,7
112582,8,-6
112597,6,3
112619,6,7
112641,7,6
112671,7,4
112704,4,14
112726,8,1
112729,8,4
112751,6,3
112792,8,2
112815,8,2
112825,7,4
112841,6,7
112867,7,2
112888,7,2
112910,7,0
112932,6,-2
112962,7,0
112975,8,1
112997,6,87
113029,7,-1
113050,7,7
113073,7,1
113094,8,7
113116,8,-1
113130,7,9
113151,6,6
113185,7,7
113207,7,5
113229,8,0
113252,8,8
113272,6,1
113294,7,2
113310,6,3
113340,6,2
113349,4,5
113369,6,7
113395,6,-1
113423,7,0
113445,7,5
113467,6,6
113489,6,2
113512,6,-3
113525,7,-1
113548,6,4
113581,7,9
113603,8,2
113625,8,0
113647,8,3
113669,6,4
113691,7,2
113702,6,6
113731,6,4
113746,6,5
113768,7,6
113797,7,10
113819,6,5
113841,8,2
113867,8,0
113889,8,2
113911,8,4
113929,7,5
113950,7,3
113981,7,3
114003,7,8
114012,8,5
114033,8,3
114056,8,1
114083,8,0
114098,6,9
114121,8,4
114144,8,2
114165,8,2
114188,8,-1
114211,7,-1
114245,6,0
114255,8,5
114276,8,4
114297,8,8
114319,8,3
114346,6,12
114377,6,10
114391,6,4
114412,6,18
114435,11,1
114452,8,0
114474,7,4
114496,8,-1
114519,6,-3
114540,8,-2
114562,8,1
114589,8,3
114610,6,3
114627,8,50
114646,6,0
114672,7,2
114694,6,-2
114721,6,3
114742,6,9
114759,8,3
114782,8,-4
114808,6,4
114831,7,3
114847,7,4
114875,6,3
114896,6,5
114918,6,-2
114937,9,1
114963,7,1
114993,5,0
115007,8,0
115037,8,1
115059,8,4
115081,8,2
115094,8,12
115115,8,2
115139,7,3
115168,8,2
115177,8,5
115205,7,3
115223,8,1
115243,7,3
115265,7,4
115292,8,1
115314,8,3
115335,8,-1
115352,6,7
115374,7,5
115398,7,3
115419,7,0
115441,7,0
115462,6,4
115499,8,1
115521,7,0
115530,6,3
115556,7,-1
115579,6,-2
115594,5,4
115617,8,0
115638,6,3
115666,7,4
115687,7,2
115706,7,3
115728,8,-2
115753,6,4
115772,7,3
115798,8,4
115821,7,-1
115843,6,2
115865,6,-1
115883,8,52
115904,8,5
115931,6,6
115953,6,0
115968,7,5
115990,7,1
116014,8,3
116036,6,2
116058,8,1
116079,8,1
116102,7,7
116122,8,0
116148,7,-1
116171,7,3
116193,7,6
116215,7,4
116233,8,-1
116259,7,4
116281,8,1
116313,8,-3
116321,7,8
116347,6,7
116365,8,-2
116385,7,2
116413,8,0
116435,8,-3
116452,5,12
116479,7,0
116497,7,12
116520,7,-1
116545,7,2
116565,5,5
116584,7,-3
116611,7,2
116643,7,5
116650,8,0
116687,7,5
116699,8,-4
116731,7,22
116737,7,8
116760,8,-1
116785,6,1
116809,7,4
116831,8,-1
116853,8,11
116875,7,12
116895,7,9
116917,6,3
116934,7,3
116973,7,1
116995,7,4
117017,7,14
117039,8,7
117061,8,1
117083,8,1
117105,8,2
117119,8,1
117137,7,4
117163,7,8
117185,7,1
117194,7,5
117216,7,-1
117248,7,1
117268,7,11
117290,7,3
117312,9,0
117326,11,1
117361,8,2
117370,8,11
117407,7,7
117428,8,5
117450,7,-1
117468,7,11
117494,8,3
117514,7,1
117524,7,4
117546,7,1
117582,7,14
117603,7,0
117625,6,0
117634,8,0
117668,6,17
117690,6,9
117713,6,3
117734,7,1
117754,7,3
117775,6,-5
117802,8,-4
117810,7,1
117834,6,4
117869,7,2
117890,6,3
117907,7,-6
117920,8,5
117942,9,3
117964,9,4
117989,7,2
118011,6,2
118033,7,-1
118072,6,4
118077,7,0
118099,8,4
118121,7,3
118143,7,13
118165,7,3
118198,8,3
118226,6,3
118243,7,0
118254,7,4
118291,6,-4
118296,7,-2
118318,8,4
118340,7,2
118362,7,2
118395,6,-6
118419,6,2
118429,9,-3
118463,6,3
118487,6,-1
118507,7,1
118533,6,3
118551,6,0
118563,6,5
118583,7,11
118617,9,0
118642,8,-5
118651,6,7
118673,7,3
118695,7,2
118728,8,-1
118737,7,-1
118759,7,0
118795,6,-2
118818,6,3
118825,6,3
118847,8,4
118869,7,1
118891,7,5
118913,7,2
118941,7,4
118963,8,8
118984,7,13
119017,7,1
119039,7,3
119061,7,3
119083,11,1
119095,8,7
119116,7,4
119139,7,5
119160,6,-1
119182,7,2
119205,6,6
119227,6,3
119255,7,16
119281,6,3
119286,7,-2
119324,8,6
119347,7,-3
119363,6,2
119380,7,1
119403,8,1
119425,6,5
119447,6,6
119469,6,3
119496,6,-2
119523,7,1
119535,7,12
119557,6,7
119578,6,0
119601,6,3
119632,6,6
119651,6,2
119667,8,4
119688,7,14
119710,7,0
119732,5,5
119755,6,3
119776,6,6
119799,6,4
119821,8,1
119837,6,4
119859,7,1
119887,8,7
119909,7,4
119931,8,3
119953,8,3
119975,8,3
119997,8,4
120029,4,10
120038,6,7
120059,8,3
120081,6,8
120118,7,-4
120140,8,4
120163,5,2
120169,7,3
120206,6,2
120228,6,2
120235,6,4
120257,8,0
120293,8,8
120315,7,7
120323,8,-1
120345,7,8
120371,6,1
120390,6,4
120412,6,1
120433,6,5
120469,8,5
120478,6,-2
120499,7,1
120535,7,-1
120557,6,5
120565,6,6
120588,6,2
120610,6,2
120644,8,1
120668,6,-1
120690,8,3
120712,10,0
120718,9,3
120750,8,10
120772,6,7
120795,6,6
120821,8,2
120843,8,1
120851,8,3
120888,7,3
120895,8,8
120917,9,-2
120939,8,2
120961,6,-2
120994,5,-2
121005,8,4
121027,9,6
121049,8,3
121070,7,4
121109,9,1
121131,8,1
121153,7,3
121154,7,18
121176,6,4
121198,6,-4
121224,8,5
121246,7,-1
121285,7,15
121290,7,6
121313,8,6
121330,7,8
121352,7,0
121379,6,7
121401,7,2
121427,7,-1
121461,7,0
121470,7,3
121505,7,11
121527,8,-4
121533,7,5
121571,8,0
121593,6,4
121615,6,7
121637,7,2
121643,7,11
121665,7,12
121682,8,1
121712,6,26
121735,7,3
121769,7,2
121774,6,1
121794,6,9
121814,6,2
121839,6,5
121867,6,3
121889,7,6
121923,8,0
121945,7,2
121951,6,2
121973,6,4
122011,9,1
122033,7,3
122055,9,0
122077,9,-2
122078,6,10
122121,10,-2
122143,10,2
122165,10,-2
122179,7,2
122189,7,0
122223,6,5
122245,6,0
122255,7,13
122279,8,1
122301,8,1
122323,8,2
122343,8,7
122365,8,1
122406,6,2
122409,8,2
122431,8,2
122463,7,7
122486,7,-2
122497,8,5
122519,8,3
122541,8,-2
122563,8,-5
122585,9,0
122627,7,-5
122648,6,0
122653,7,-1
122683,7,5
122695,7,-1
122735,8,1
122757,8,1
122779,8,1
122788,7,6
122815,7,1
122835,8,2
122856,6,1
122881,8,9
122898,7,4
122925,8,1
122947,8,3
122966,6,1
122999,8,9
123013,8,0
123035,7,4
123052,8,4
123075,7,2
123097,7,20
123117,8,4
123141,7,3
123164,8,1
123186,7,0
123207,8,0
123242,7,-4
123255,8,1
123286,8,4
123308,7,17
123331,6,14
123352,7,2
123374,6,6
123396,6,6
123405,8,0
123440,7,7
123453,7,2
123475,8,-5
123497,8,4
123528,7,1
123537,8,1
123557,7,2
123594,7,9
123615,8,3
123638,7,3
123659,8,0
123668,7,3
123695,8,1
123726,8,8
123748,8,-5
123770,8,3
123785,7,0
123807,7,1
123817,8,4
123839,6,-1
123861,8,1
123903,7,2
123905,8,1
123939,6,9
123961,7,2
123979,6,6
124013,5,3
124035,5,4
124057,7,3
124079,7,3
124081,7,16
124103,8,1
124133,6,11
124155,7,-2
124177,7,1
124199,7,3
124221,7,1
124243,6,2
124269,6,2
124287,7,4
124301,6,-1
124323,8,1
124358,6,14
124380,6,4
124389,7,1
124431,6,5
124453,7,2
124455,7,0
124477,9,1
124507,7,3
124541,6,8
124563,7,5
124585,7,1
124607,6,1
124609,8,0
124631,6,6
124653,6,12
124688,7,9
124710,6,2
124719,8,4
124741,7,4
124763,6,1
124798,6,14
124819,7,3
124848,7,5
124864,8,1
124891,7,1
124913,7,-5
124926,8,3
124947,5,1
124973,8,5
124995,7,0
125024,7,3
125036,6,7
125057,8,1
125084,8,6
125105,8,4
125134,7,2
125148,6,14
125177,6,5
125189,6,2
125211,7,2
125233,7,7
125258,7,5
125281,7,2
125300,8,1
125321,8,2
125343,7,-1
125365,7,6
125391,6,2
125420,7,11
125442,8,5
125457,6,8
125486,7,1
125492,6,-1
125523,8,8
125551,6,1
125574,7,2
125596,7,3
125607,5,6
125629,7,-6
125655,7,4
125677,7,-2
125705,8,15
125727,6,5
125749,7,5
125764,6,5
125787,8,0
125809,10,1
125831,10,1
125853,11,1
125875,10,2
125905,7,2
125927,6,2
125941,7,1
125971,7,5
125975,7,2
125997,8,4
126017,7,-2
126041,8,1
126073,6,2
126084,6,-2
126116,6,5
126147,7,6
126161,8,4
126183,7,0
126205,7,9
126227,7,0
126257,8,3
126261,7,0
126288,8,5
126302,8,8
126333,8,2
126354,8,9
126376,8,-2
126394,8,2
126417,7,2
126447,7,32
126477,7,17
126496,6,2
126521,6,6
126530,6,5
126552,6,0
126579,7,2
126601,8,2
126623,6,2
126644,6,4
126663,6,2
126689,7,2
126707,6,6
126729,6,3
126751,8,4
126774,6,0
126799,6,3
126829,7,17
126851,6,0
126873,5,10
126887,7,3
126909,6,6
126936,7,2
126955,6,5
126977,7,24
126999,7,6
127013,7,36
127035,6,9
127057,7,-1
127087,7,5
127109,8,2
127131,6,5
127154,8,2
127175,8,-1
127203,8,1
127207,6,3
127229,7,0
127255,6,0
127291,7,14
127313,7,7
127335,7,6
127357,6,-2
127365,6,2
127387,6,0
127409,6,1
127439,7,3
127462,6,4
127483,7,1
127497,6,1
127515,6,2
127541,6,0
127564,8,4
127586,8,4
127603,6,21
127629,8,0
127651,8,1
127681,7,1
127695,8,-3
127725,7,5
127741,8,13
127761,7,1
127782,6,4
127813,6,6
127835,8,3
127857,9,0
127869,8,2
127891,7,0
127913,7,0
127935,7,9
127957,7,0
127995,6,2
128017,7,4
128039,6,5
128044,8,4
128067,6,16
128089,7,10
128111,7,5
128132,6,0
128151,6,7
128177,7,3
128199,7,0
128217,6,1
128258,7,4
128265,8,2
128287,8,7
128309,8,-1
128331,7,4
128353,9,3
128375,8,3
128397,7,4
128425,7,1
128457,5,4
128469,7,5
128486,6,-2
128502,7,-1
128535,7,3
128567,7,0
128577,7,9
128608,7,6
128630,7,1
128645,7,2
128677,7,-1
128678,7,0
128708,9,4
128731,7,4
128750,6,1
128772,7,-2
128805,6,2
128827,6,14
128849,6,46
128875,7,6
128897,6,28
128909,9,9
128931,9,0
128959,6,6
128975,8,10
129003,8,5
129025,7,-3
129036,7,3
129058,8,-1
129085,7,5
129107,7,2
129127,6,1
129140,7,1
129162,7,1
129205,8,7
129227,8,-3
129249,8,1
129271,8,-2
129293,6,5
129315,7,4
129324,7,4
129356,7,26
129378,7,2
129400,9,0
129422,9,0
129444,9,-3
129459,7,2
129491,7,20
129512,8,0
129525,8,4
129545,7,14
129566,8,1
129588,10,-1
129606,8,2
129633,7,2
129655,7,1
129676,7,2
129697,7,0
129719,8,2
129742,8,4
129765,6,4
129787,7,-1
129819,7,10
129841,7,5
129864,8,3
129886,10,1
129896,8,0
129921,7,2
129944,7,4
129963,6,1
129984,8,7
130009,8,-1
130040,9,0
130051,7,2
130072,7,5
130093,9,0
130119,8,-3
130150,7,5
130163,8,1
130183,5,14
130205,7,2
130230,7,7
130260,8,2
130273,8,3
130291,6,5
130312,8,7
130333,8,1
130366,7,6
130378,7,1
130400,6,2
130433,8,1
130444,8,-2
130477,8,11
130502,8,1
130510,7,3
130532,7,2
130565,7,0
130586,8,3
130598,8,18
130620,8,3
130642,8,16
130664,8,0
130696,8,4
130708,7,6
130730,8,2
130762,6,6
130774,7,13
130796,7,3
130818,8,4
130840,8,0
130871,6,4
130893,7,5
130915,8,5
130938,7,0
130960,11,0
130972,7,4
130993,8,-2
131016,7,3
131038,8,7
131070,8,1
131082,8,3
131104,7,2
131126,7,7
131148,7,4
131170,8,7
131192,8,1
131213,8,1
131236,8,2
131257,7,7
131280,8,0
131302,8,6
131325,7,3
131346,8,-2
131367,8,1
131390,7,2
131412,8,25
131434,8,2
131457,6,3
131480,6,3
131501,8,-1
131525,6,8
131547,7,1
131561,7,0
131596,8,2
131619,7,1
131642,6,3
131663,6,3
131684,7,8
131708,6,3
131721,8,1
131755,7,4
131775,7,5
131798,8,4
131819,8,11
131832,7,2
131848,7,1
131875,7,-5
131898,7,5
131918,11,0
131940,11,1
131959,4,11
131996,6,5
132017,6,2
132030,7,5
132052,7,-3
132083,6,0
132107,8,5
132117,7,2
132134,7,0
132172,6,7
132195,7,6
132200,7,3
132240,7,2
132259,8,0
132271,6,4
132293,7,3
132310,4,5
132336,11,1
132372,8,4
132394,7,10
132416,8,1
132428,6,3
132450,7,3
132482,6,4
132504,6,-4
132516,6,0
132548,6,8
132560,8,0
132581,6,12
132614,8,-3
132626,7,2
132648,7,1
132670,6,1
132702,6,6
132723,6,3
132746,6,7
132768,7,3
132780,7,-5
132802,6,19
132824,6,4
132846,7,0
132868,7,6
132900,7,7
132922,6,11
132944,6,1
132966,6,4
132988,7,3
133010,8,3
133032,9,2
133054,7,5
133076,6,1
133091,6,11
133120,6,5
133142,7,3
133164,8,2
133172,6,3
133208,8,3
133230,7,5
133252,8,-3
133274,8,2
133281,8,0
133301,8,2
133324,8,-1
133345,6,1
133374,7,3
133405,8,-1
133427,8,0
133449,7,4
133470,5,4
133484,7,1
133514,8,2
133539,7,11
133561,6,5
133581,8,1
133605,7,0
133622,8,3
133649,6,4
133660,5,11
133676,7,6
133715,6,1
133737,6,4
133743,7,3
133764,6,14
133792,6,3
133808,7,22
133847,7,42
133869,7,0
133880,7,2
133902,5,4
133924,7,5
133946,8,0
133963,7,8
133987,7,0
134023,6,2
134034,7,1
134064,3,4
134073,7,2
134094,7,-3
134116,8,3
134138,9,0
134160,9,0
134199,7,2
134221,8,4
134243,6,0
134264,6,9
134287,8,3
134297,6,-1
134319,6,0
134342,7,4
134362,7,11
134385,6,5
134406,7,2
134428,7,-2
134446,7,-4
134477,5,1
134495,6,2
134516,6,7
134539,7,0
134557,8,0
134582,7,3
134604,7,8
134627,8,4
134659,6,8
134682,6,9
134688,7,14
134714,7,3
134735,6,2
134759,7,2
134781,7,1
134803,6,0
134837,6,3
134846,6,-1
134869,7,0
134890,7,2
134913,8,0
134946,6,5
134968,7,8
134990,7,3
134996,8,1
135023,8,2
135045,8,3
135067,7,-2
135089,8,4
135112,8,-6
135145,7,1
135153,8,-3
135185,8,-4
135197,7,2
135229,8,3
135252,7,3
135263,7,3
135284,6,2
135305,7,1
135330,8,1
135361,7,4
135383,7,1
135405,7,3
135427,8,1
135449,8,2
135471,8,4
135482,7,0
135506,8,2
135527,6,1
135559,7,-1
135581,8,5
135603,8,-1
135615,7,2
135637,7,23
135658,7,-1
135691,7,2
135713,7,9
135735,8,-2
135757,7,6
135779,7,0
135801,7,4
135823,7,0
135836,7,0
135867,8,-2
135889,8,2
135902,7,17
135933,7,-7
135947,6,1
135965,7,-1
135990,6,5
136022,8,1
136038,9,36
136064,7,-2
136082,8,1
136102,6,9
136116,8,14
136138,8,25
136160,7,3
136182,10,1
136214,6,6
136226,8,3
136247,7,5
136280,8,5
136306,6,-5
136313,7,6
136336,7,1
136357,7,5
136388,7,9
136402,8,3
136434,8,3
136446,7,2
136476,6,-1
136503,6,0
136512,7,5
136534,7,2
136556,7,16
136586,8,19
136608,8,5
136632,8,-2
136644,8,3
136666,8,11
136696,8,10
136714,7,9
136732,7,9
136762,8,15
136784,7,11
136806,7,11
136820,8,5
136850,7,6
136864,8,4
136886,7,5
136908,7,3
136938,7,3
136960,6,-1
136982,6,9
137004,7,1
137026,6,6
137048,8,0
137070,7,-3
137092,7,2
137114,6,-1
137140,6,0
137158,8,3
137180,8,41
137211,8,-1
137232,7,-1
137255,7,-3
137268,6,5
137290,8,1
137312,6,6
137343,6,14
137365,7,2
137386,7,4
137399,7,2
137420,7,0
137453,8,4
137464,7,37
137497,8,3
137518,6,25
137543,7,1
137562,6,-3
137575,6,7
137607,7,-1
137619,7,7
137640,6,1
137670,6,0
137686,8,4
137708,8,7
137730,6,2
137761,8,1
137783,7,5
137796,7,4
137818,7,1
137840,6,4
137853,6,0
137884,6,3
137906,6,5
137928,8,1
137950,8,4
137972,6,3
137994,7,1
138024,8,2
138046,7,3
138060,6,6
138082,6,6
138104,6,0
138125,7,1
138148,7,6
138170,8,4
138192,9,3
138212,7,2
138236,8,-1
138258,8,4
138289,6,-6
138296,8,0
138318,7,3
138353,7,20
138372,7,21
138394,7,-4
138406,7,10
138428,7,0
138450,7,1
138471,6,6
138493,6,13
138531,8,19
138548,8,10
138575,6,2
138598,5,8
138604,8,-4
138626,6,4
138648,6,3
138670,6,9
138692,7,0
138713,7,2
138736,7,21
138758,7,4
138779,7,6
138801,6,19
138824,6,14
138846,7,6
138882,6,1
138904,7,0
138927,6,4
138933,7,2
138956,7,14
138978,6,8
138999,6,0
139021,10,0
139044,6,-1
139076,7,8
139103,6,7
139110,6,4
139146,7,-2
139168,7,-1
139184,7,5
139206,7,-1
139222,7,0
139244,6,1
139272,6,5
139294,6,4
139316,8,4
139346,6,-5
139354,8,8
139376,9,3
139398,7,2
139420,6,4
139448,8,3
139470,6,9
139486,7,15
139508,7,4
139536,8,8
139558,7,3
139588,7,8
139609,7,0
139632,7,0
139642,8,-9
139662,6,3
139690,6,5
139712,6,1
139734,6,-2
139756,7,9
139778,7,-5
139794,6,9
139816,7,3
139838,6,1
139860,7,5
139882,7,0
139910,7,1
139932,8,1
139948,7,5
139970,6,3
140006,7,0
140014,6,5
140049,6,3
140072,6,-1
140080,7,3
140102,7,-2
140127,8,12
140145,8,3
140168,8,1
140196,7,4
140226,7,5
140234,7,5
140256,6,3
140278,6,-7
140299,8,2
140322,9,1
140344,6,4
140370,6,7
140389,7,2
140409,9,-1
140446,7,2
140467,6,0
140490,7,8
140498,8,1
140534,8,2
140546,6,9
140577,8,4
140600,6,0
140608,6,1
140631,6,5
140653,6,2
140687,8,0
140709,7,3
140732,7,6
140753,8,-1
140768,6,1
140785,6,2
140819,7,8
140841,5,0
140864,7,2
140868,7,13
140893,8,1
140920,4,11
140938,7,-2
140974,8,-1
140986,7,5
141008,7,0
141040,7,2
141046,7,6
141070,7,3
141092,7,0
141118,8,7
141140,5,3
141162,8,5
141184,7,-4
141206,9,-1
141223,9,3
141245,9,-1
141268,8,4
141303,8,4
141325,9,1
141347,7,2
141369,8,1
141391,8,1
141395,8,2
141425,6,3
141453,8,7
141475,8,-2
141483,6,21
141514,7,5
141540,7,3
141562,8,1
141585,8,7
141605,6,4
141626,7,4
141649,7,1
141672,6,4
141689,6,6
141712,7,-1
141740,7,1
141747,6,1
141769,6,2
141791,7,3
141831,7,-1
141844,6,-2
141857,8,0
141886,6,5
141910,6,4
141923,5,1
141959,8,0
141978,6,3
142002,7,2
142011,8,3
142042,7,6
142055,7,0
142090,7,1
142099,8,-3
142139,8,-1
142158,7,-1
142173,6,0
142202,8,-4
142220,7,5
142246,5,21
142266,6,0
142288,7,5
142311,7,8
142333,7,4
142356,7,4
142377,8,2
142399,8,3
142421,8,0
142440,6,3
142461,7,2
142491,8,1
142505,7,9
142527,11,2
142547,7,3
142569,7,7
142591,5,8
142615,8,3
142637,8,1
142657,7,-3
142675,5,8
142709,8,1
142734,7,3
142755,6,6
142779,6,20
142800,7,23
142821,7,6
142834,8,-4
142857,7,5
142880,6,4
142901,10,1
142922,7,13
142943,8,3
142968,5,3
142989,7,2
143010,7,4
143027,6,2
143055,7,2
143087,7,13
143107,7,0
143119,6,-1
143143,7,2
143174,7,4
143187,7,3
143207,7,12
143229,6,1
143261,6,0
143284,8,1
143305,7,2
143329,7,-3
143349,8,5
143371,7,5
143393,8,3
143415,7,7
143433,7,6
143443,8,14
143466,9,1
143488,9,1
143525,6,2
143532,8,2
143555,7,1
143588,6,-1
143610,6,1
143636,8,-2
143643,7,6
143664,7,10
143687,7,2
143725,8,9
143747,10,0
143752,8,4
143775,6,7
143797,7,-2
143818,8,13
143840,8,5
143862,7,5
143901,7,2
143918,7,14
143945,6,6
143951,7,-2
143974,6,9
143995,7,2
144029,7,5
144055,6,1
144060,7,0
144082,7,3
144105,7,9
144127,7,0
144153,7,3
144170,7,5
144192,8,4
144215,8,1
144237,6,-2
144268,6,6
144291,6,0
144313,6,-4
144324,8,0
144345,8,2
144374,7,3
144396,7,3
144411,8,2
144448,6,0
144455,7,8
144477,8,18
144499,7,4
144536,6,-1
144550,8,0
144580,7,11
144586,8,4
144608,8,2
144646,6,15
144668,6,-7
144682,7,1
144704,7,6
144730,6,7
144756,6,2
144762,8,21
144784,6,2
144806,6,3
144844,7,-1
144850,8,-4
144872,8,0
144910,7,2
144924,7,5
144954,6,11
144972,6,4
144990,7,0
145016,6,-5
145027,6,1
145049,7,7
145071,7,-3
145104,6,0
145130,7,2
145151,6,34
145169,6,-4
145181,6,5
