,Quarter,Yards
131798,2,4
131819,2,11
131832,2,2
131848,2,1
131875,2,-5
131898,2,5
131918,2,0
131940,2,1
131959,2,11
131996,3,5
132017,3,2
132030,3,5
132052,3,-3
132083,3,0
132107,3,5
132117,3,2
132134,3,0
132172,4,7
132195,4,6
132200,4,3
132240,4,2
132259,4,0
132271,4,4
132293,4,3
132310,4,5
132336,4,1
132372,1,4
132394,1,10
132416,1,1
132428,1,3
132450,1,3
132482,1,4
132504,1,-4
132516,1,0
132548,1,8
132560,1,0
132581,1,12
132614,2,-3
132626,2,2
132648,2,1
132670,2,1
132702,2,6
132723,2,3
132746,2,7
132768,2,3
132780,2,-5
132802,3,19
132824,3,4
132846,3,0
132868,3,6
132900,3,7
132922,3,11
132944,3,1
132966,3,4
132988,3,3
133010,3,3
133032,3,2
133054,3,5
133076,4,1
133091,4,11
133120,4,5
133142,4,3
133164,4,2
133172,4,3
133208,4,3
133230,4,5
133252,4,-3
133274,4,2
133281,1,0
133301,1,2
133324,1,-1
133345,1,1
133374,1,3
133405,1,-1
133427,1,0
133449,1,4
133470,1,4
133484,1,1
133514,2,2
133539,2,11
133561,2,5
133581,2,1
133605,2,0
133622,2,3
133649,2,4
133660,2,11
133676,2,6
133715,2,1
133737,3,4
133743,3,3
133764,3,14
133792,3,3
133808,3,22
133847,3,42
133869,3,0
133880,3,2
133902,3,4
133924,3,5
133946,3,0
133963,4,8
133987,4,0
134023,4,2
134034,4,1
134064,4,4
134073,4,2
134094,4,-3
134116,4,3
134138,4,0
134160,4,0
134199,1,2
134221,1,4
134243,1,0
134264,1,9
134287,1,3
134297,1,-1
134319,1,0
134342,1,4
134362,1,11
134385,1,5
134406,2,2
134428,2,-2
134446,2,-4
134477,2,1
134495,2,2
134516,2,7
134539,2,0
134557,2,0
134582,2,3
134604,2,8
134627,2,4
134659,2,8
134682,2,9
134688,3,14
134714,3,3
134735,3,2
134759,3,2
134781,3,1
134803,3,0
134837,3,3
134846,3,-1
134869,3,0
134890,3,2
134913,4,0
134946,4,5
134968,4,8
134990,4,3
134996,4,1
135023,4,2
135045,4,3
135067,4,-2
135089,4,4
135112,4,-6
135145,4,1
135153,1,-3
135185,1,-4
135197,1,2
135229,1,3
135252,1,3
135263,1,3
135284,1,2
135305,1,1
135330,1,1
135361,1,4
135383,1,1
135405,1,3
135427,1,1
135449,1,2
135471,1,4
135482,2,0
135506,2,2
135527,2,1
135559,2,-1
135581,2,5
135603,2,-1
135615,2,2
135637,2,23
135658,2,-1
135691,3,2
135713,3,9
135735,3,-2
135757,3,6
135779,3,0
135801,3,4
135823,3,0
135836,3,0
135867,3,-2
135889,3,2
135902,3,17
135933,4,-7
135947,4,1
135965,4,-1
135990,4,5
136022,4,1
136038,1,36
136064,1,-2
136082,1,1
136102,1,9
136116,1,14
136138,1,25
136160,1,3
136182,1,1
136214,1,6
136226,1,3
136247,1,5
136280,1,5
136306,1,-5
136313,2,6
136336,2,1
136357,2,5
136388,2,9
136402,2,3
136434,2,3
136446,2,2
136476,2,-1
136503,2,0
136512,3,5
136534,3,2
136556,3,16
136586,3,19
136608,3,5
136632,3,-2
136644,3,3
136666,3,11
136696,3,10
136714,3,9
136732,3,9
136762,3,15
136784,3,11
136806,3,11
136820,3,5
136850,3,6
136864,4,4
136886,4,5
136908,4,3
136938,4,3
136960,4,-1
136982,4,9
137004,4,1
137026,4,6
137048,4,0
137070,4,-3
137092,4,2
137114,4,-1
137140,4,0
137158,4,3
137180,4,41
137211,1,-1
137232,1,-1
137255,1,-3
137268,1,5
137290,1,1
137312,1,6
137343,1,14
137365,1,2
137386,1,4
137399,1,2
137420,1,0
137453,2,4
137464,2,37
137497,2,3
137518,2,25
137543,2,1
137562,2,-3
137575,2,7
137607,2,-1
137619,2,7
137640,2,1
137670,2,0
137686,3,4
137708,3,7
137730,3,2
137761,3,1
137783,3,5
137796,3,4
137818,3,1
137840,3,4
137853,3,0
137884,3,3
137906,3,5
137928,3,1
137950,3,4
137972,4,3
137994,4,1
138024,4,2
138046,4,3
138060,4,6
138082,4,6
138104,4,0
138125,4,1
138148,4,6
138170,4,4
138192,4,3
138212,4,2
138236,4,-1
138258,4,4
138289,1,-6
138296,1,0
138318,1,3
138353,1,20
138372,1,21
138394,1,-4
138406,1,10
138428,1,0
138450,1,1
138471,1,6
138493,1,13
138531,2,19
138548,2,10
138575,2,2
138598,2,8
138604,2,-4
138626,2,4
138648,2,3
138670,2,9
138692,2,0
138713,2,2
138736,3,21
138758,3,4
138779,3,6
138801,3,19
138824,3,14
138846,3,6
138882,3,1
138904,3,0
138927,3,4
138933,3,2
138956,3,14
138978,3,8
138999,3,0
139021,3,0
139044,3,-1
139076,4,8
139103,4,7
139110,4,4
139146,4,-2
139168,4,-1
139184,1,5
139206,1,-1
139222,1,0
139244,1,1
139272,1,5
139294,1,4
139316,1,4
139346,1,-5
139354,1,8
139376,1,3
139398,1,2
139420,1,4
139448,1,3
139470,1,9
139486,2,15
139508,2,4
139536,2,8
139558,2,3
139588,2,8
139609,2,0
139632,2,0
139642,2,-9
139662,2,3
139690,2,5
139712,2,1
139734,2,-2
139756,3,9
139778,3,-5
139794,3,9
139816,3,3
139838,3,1
139860,3,5
139882,3,0
139910,3,1
139932,3,1
139948,3,5
139970,3,3
140006,3,0
140014,3,5
140049,4,3
140072,4,-1
140080,4,3
140102,4,-2
140127,4,12
140145,4,3
140168,4,1
140196,4,4
140226,4,5
140234,4,5
140256,4,3
140278,4,-7
140299,4,2
140322,4,1
140344,1,4
140370,1,7
140389,1,2
140409,1,-1
140446,1,2
140467,1,0
140490,1,8
140498,1,1
140534,1,2
140546,1,9
140577,1,4
140600,1,0
140608,1,1
140631,2,5
140653,2,2
140687,2,0
140709,2,3
140732,2,6
140753,2,-1
140768,2,1
140785,2,2
140819,2,8
140841,2,0
140864,3,2
140868,3,13
140893,3,1
140920,3,11
140938,3,-2
140974,3,-1
140986,3,5
141008,3,0
141040,4,2
141046,4,6
141070,4,3
141092,4,0
141118,4,7
141140,4,3
141162,4,5
141184,4,-4
141206,4,-1
141223,4,3
141245,4,-1
141268,4,4
141303,5,4
141325,5,1
141347,5,2
141369,5,1
141391,5,1
141395,1,2
141425,1,3
141453,1,7
141475,1,-2
141483,1,21
141514,1,5
141540,1,3
141562,1,1
141585,1,7
141605,1,4
141626,1,4
141649,1,1
141672,1,4
141689,1,6
141712,2,-1
141740,2,1
141747,2,1
141769,2,2
141791,2,3
141831,2,-1
141844,2,-2
141857,2,0
141886,2,5
141910,2,4
141923,2,1
141959,3,0
141978,3,3
142002,3,2
142011,3,3
142042,3,6
142055,3,0
142090,3,1
142099,3,-3
142139,3,-1
142158,3,-1
142173,4,0
142202,4,-4
142220,4,5
142246,4,21
142266,4,0
142288,4,5
142311,4,8
142333,4,4
142356,4,4
142377,4,2
142399,4,3
142421,4,0
142440,1,3
142461,1,2
142491,1,1
142505,1,9
142527,1,2
142547,1,3
142569,1,7
142591,1,8
142615,1,3
142637,1,1
142657,1,-3
142675,2,8
142709,2,1
142734,2,3
142755,2,6
142779,2,20
142800,2,23
142821,2,6
142834,2,-4
142857,2,5
142880,2,4
142901,2,1
142922,2,13
142943,2,3
142968,2,3
142989,3,2
143010,3,4
143027,3,2
143055,3,2
143087,3,13
143107,3,0
143119,3,-1
143143,3,2
143174,3,4
143187,4,3
143207,4,12
143229,4,1
143261,4,0
143284,4,1
143305,4,2
143329,4,-3
143349,4,5
143371,4,5
143393,1,3
143415,1,7
143433,1,6
143443,1,14
143466,1,1
143488,1,1
143525,1,2
143532,1,2
143555,1,1
143588,1,-1
143610,1,1
143636,1,-2
143643,2,6
143664,2,10
143687,2,2
143725,2,9
143747,2,0
143752,2,4
143775,2,7
143797,2,-2
143818,2,13
143840,3,5
143862,3,5
143901,3,2
143918,3,14
143945,3,6
143951,3,-2
143974,3,9
143995,3,2
144029,3,5
144055,3,1
144060,3,0
144082,4,3
144105,4,9
144127,4,0
144153,4,3
144170,4,5
144192,4,4
144215,4,1
144237,4,-2
144268,4,6
144291,4,0
144313,4,-4
144324,4,0
144345,4,2
144374,1,3
144396,1,3
144411,1,2
144448,1,0
144455,1,8
144477,1,18
144499,1,4
144536,1,-1
144550,1,0
144580,1,11
144586,1,4
144608,1,2
144646,2,15
144668,2,-7
144682,2,1
144704,2,6
144730,2,7
144756,2,2
144762,2,21
144784,2,2
144806,2,3
144844,2,-1
144850,3,-4
144872,3,0
144910,3,2
144924,3,5
144954,3,11
144972,3,4
144990,3,0
145016,3,-5
145027,3,1
145049,3,7
145071,4,-3
145104,4,0
145130,4,2
145151,4,34
145169,4,-4
145181,4,5
145213,4,1
145235,4,12
145257,4,-1
145279,4,8
145301,4,11
145313,1,2
145334,1,3
145356,1,1
145378,1,-2
145399,1,1
145438,1,1
145459,1,2
145466,1,3
145506,1,-1
145526,1,-4
145549,1,-1
145561,2,0
145593,2,5
145614,2,2
145635,2,15
145659,2,19
145681,2,-1
145703,2,2
145725,2,1
145747,2,1
145769,3,17
145790,3,2
145813,3,0
145835,3,-1
145841,3,14
145863,3,20
145885,3,2
145906,3,11
145928,3,-2
145967,3,0
145988,3,18
146011,4,0
146014,4,-2
146055,4,4
146078,4,13
146099,4,8
146120,4,17
146143,4,3
146165,4,1
146187,4,-5
146209,4,4
146231,4,-1
146253,4,-1
146275,4,3
146296,4,1
146315,4,3
146336,4,5
146351,4,8
146373,4,6
146406,1,28
146415,1,4
146437,1,0
146459,1,1
146478,1,11
146503,1,4
146537,1,-2
146558,1,18
146585,1,0
146607,1,1
146625,1,0
146635,1,20
146657,1,3
146691,1,4
146714,2,5
146739,2,7
146749,2,6
146780,2,4
146801,2,7
146811,2,3
146829,2,6
146851,2,3
146878,2,2
146899,2,5
146933,2,10
146939,2,5
146965,3,0
146986,3,3
147014,3,13
147035,3,3
147052,3,2
147088,3,3
147109,3,21
147118,3,18
147141,3,5
147176,3,-2
147201,3,0
147219,3,2
147245,3,4
147264,3,4
147286,4,2
147308,4,3
147333,4,4
147355,4,12
147377,4,33
147379,4,-2
147418,4,7
147440,4,-2
147462,4,4
147467,4,-1
147490,1,2
147512,1,3
147549,1,2
147570,1,4
147596,1,2
147614,1,21
147639,1,0
147646,1,5
147668,1,4
147691,1,3
147710,1,3
147735,2,1
147768,2,3
147790,2,2
147807,2,-1
147824,2,3
147860,2,2
147882,2,7
147899,2,3
147922,2,7
147944,2,6
147970,2,1
147992,2,3
147997,2,9
148019,2,4
148040,2,7
148064,2,8
148086,2,2
148121,3,0
148142,3,6
148159,3,3
148190,3,3
148203,3,10
148225,3,4
148247,3,1
148269,3,11
148283,3,-1
148305,3,6
148327,3,6
148357,3,1
148379,3,9
148394,3,6
148416,4,1
148438,4,3
148476,4,5
148482,4,3
148506,4,4
148523,4,0
148545,4,2
148567,4,4
148589,4,2
148612,4,2
148634,4,-1
148674,4,4
148684,1,2
148705,1,3
148740,1,2
148753,1,5
148771,1,-4
148793,1,5
148819,1,1
148841,1,8
148862,1,3
148884,2,0
148915,2,3
148929,2,12
148951,2,3
148973,2,18
148995,2,1
149026,2,4
149036,2,7
149057,2,11
149082,2,1
149105,3,15
149127,3,4
149149,3,5
149167,3,-5
149189,3,-1
149215,3,7
149237,3,16
149266,3,12
149280,3,3
149302,3,66
149325,3,4
149347,3,0
149365,3,1
149391,3,-2
149423,4,16
149445,4,0
149457,4,2
149479,4,11
149509,4,0
149531,4,2
149544,4,3
149566,4,6
149597,4,3
149619,4,5
149641,4,43
149661,1,4
149666,1,2
149705,1,5
149710,1,4
149741,1,5
149762,1,13
149777,1,2
149798,1,1
149828,1,0
149863,1,-1
149885,1,0
149886,2,-2
149925,2,7
149939,2,16
149960,2,-2
149983,2,-2
150004,2,7
150035,2,3
150040,2,-4
150071,2,0
150101,3,-1
150106,3,5
150129,3,2
150167,3,3
150189,3,2
150211,3,7
150233,4,5
150255,4,5
150277,4,2
150299,4,4
150324,4,3
150346,4,5
150369,4,5
150391,1,3
150410,1,4
150432,1,7
150457,1,-1
150477,1,4
150486,1,2
150508,1,11
150542,1,50
150565,1,4
150575,1,-2
150598,1,3
150619,1,0
150653,2,7
150677,2,4
150699,2,10
150719,2,12
150726,2,4
150748,2,4
150771,2,2
150809,2,4
150831,2,3
150837,2,4
150875,2,5
150882,3,-1
150916,3,0
150927,3,4
150948,3,-1
150983,3,1
151005,3,-2
151016,3,0
151048,3,1
151057,3,10
151079,3,8
151100,4,2
151123,4,-1
151145,4,2
151168,4,6
151203,4,2
151225,4,16
151247,4,7
151268,4,12
151280,4,0
151308,1,5
151330,1,1
151347,1,4
151369,1,8
151390,1,6
151405,1,2
151435,1,-2
151449,1,3
151479,1,4
151506,1,7
151528,1,4
151545,1,29
151559,1,-1
151587,1,9
151610,1,-1
151638,2,1
151655,2,2
151682,2,0
151698,2,2
151720,2,0
151743,2,2
151762,2,-3
151792,2,-1
151808,2,0
151827,2,1
151849,2,8
151875,3,-1
151903,3,1
151924,3,3
151940,3,2
151962,3,4
151991,3,3
152012,3,1
152029,3,4
152051,3,9
152073,3,2
152094,3,2
152116,3,4
152138,3,5
152161,3,3
152175,3,0
152197,3,1
152227,4,1
152249,4,0
152277,4,0
152293,4,12
152315,4,2
152329,4,2
152358,4,3
152381,4,2
152403,4,3
152417,4,2
152459,1,8
152469,1,3
152491,1,4
152512,1,5
152547,1,6
152556,1,1
152579,1,4
152601,1,4
152623,1,-3
152657,2,5
152679,2,2
152701,2,1
152723,2,2
152745,2,-4
152767,2,3
152777,2,5
152811,2,0
152833,2,7
152843,3,1
152877,3,4
152899,3,1
152909,3,-3
152943,3,7
152965,3,1
152967,3,2
153009,3,3
153031,3,1
153053,3,0
153062,3,6
153085,3,4
153106,4,1
153141,4,0
153150,4,9
153173,4,2
153195,4,5
153217,4,-3
153251,4,6
153260,4,3
153282,4,2
153305,4,1
153326,4,5
153349,4,-2
153370,4,3
153405,4,1
153412,1,6
153434,1,7
153464,1,3
153486,1,-3
153502,1,9
153537,1,1
153552,1,-3
153574,1,7
153596,1,3
153618,1,2
153643,1,5
153662,1,13
153684,2,-2
153698,2,1
153720,2,-4
153742,2,1
153772,2,5
153786,2,-3
153823,2,-1
153830,2,-1
153860,2,9
153882,2,1
153896,2,4
153926,2,11
153948,2,1
153970,3,2
153992,3,-3
154006,3,1
154043,3,3
154050,3,5
154072,3,3
154109,3,7
154131,3,1
154153,3,4
154175,3,10
154197,3,3
154219,4,3
154226,4,3
154256,4,1
154278,4,4
154292,4,4
154314,4,-1
154351,4,34
154366,4,6
154388,4,2
154410,4,4
154432,4,0
154454,4,-2
154469,1,6
154491,1,5
154513,1,3
154535,1,6
154565,1,2
154589,1,3
154609,1,-3
154636,1,2
154653,1,13
154667,1,0
154697,1,0
154720,2,4
154741,2,8
154755,2,-1
154785,2,3
154799,2,5
154821,2,5
154843,2,-3
154878,2,3
154896,2,9
154918,2,7
154939,3,-4
154953,3,2
154975,3,0
155006,3,-2
155029,3,2
155039,3,2
155071,3,25
155095,3,6
155115,4,0
155137,4,2
155151,4,8
155182,4,3
155204,4,6
155226,4,4
155239,4,0
155261,4,-1
155291,4,2
155313,4,34
155336,4,2
155358,4,2
155379,4,9
155406,4,3
155424,4,3
155446,4,-1
155467,4,2
155487,1,4
155506,1,3
155528,1,3
155561,1,10
155575,1,9
155599,1,-12
155619,1,11
155649,1,3
155660,1,4
155682,1,7
155704,1,30
155726,1,4
155751,1,36
155764,2,-2
155792,2,3
155814,2,2
155836,2,1
155869,2,2
155886,2,2
155905,2,3
155927,2,2
155946,2,-1
155962,2,16
155990,2,1
156006,2,4
156028,2,-1
156056,3,3
156089,3,-1
156103,3,11
156125,3,3
156144,3,3
156163,3,4
156188,3,4
156210,3,7
156232,3,3
156265,3,2
156284,3,-8
156297,4,2
156331,4,24
156345,4,4
156375,4,-1
156386,4,4
156408,4,9
156430,4,17
156452,4,2
156485,4,3
156496,4,6
156518,4,3
156539,4,-1
156565,5,20
156587,5,31
156606,1,1
156625,1,3
156656,1,5
156678,1,-1
156696,1,1
156722,1,0
156744,1,6
156760,1,7
156782,1,7
156810,1,2
156832,2,3
156853,2,1
156870,2,5
156890,2,3
156913,2,16
156933,2,1
156968,2,9
156989,2,0
156998,2,3
157020,2,8
157052,3,3
157073,3,0
157100,3,-1
157112,3,3
157134,3,0
157156,3,2
157178,3,9
157200,3,1
157227,3,4
157249,3,14
157272,3,5
157298,3,3
157310,4,2
157332,4,1
157360,4,5
157382,4,9
157407,4,3
157430,4,2
157444,4,12
157464,4,12
157492,4,4
157514,4,-3
157530,4,3
157552,4,10
157574,4,0
157602,4,2
157624,4,2
157640,5,2
157662,5,0
157684,5,8
157712,5,3
157734,5,10
157760,5,2
157763,1,-1
157785,1,8
157807,1,2
157843,1,3
157851,1,37
157873,1,27
157911,1,1
157934,1,7
157955,1,-1
157977,1,3
157983,1,-2
158005,1,2
158040,2,0
158065,2,5
158087,2,4
158107,2,4
158115,2,-3
158153,2,-2
158176,2,20
158195,2,7
158219,2,19
158240,2,1
158247,2,6
158284,2,0
158307,2,1
158329,2,10
158351,3,0
158373,3,17
158395,3,4
158416,3,-2
158423,3,32
158451,3,3
158467,3,0
158504,3,10
158526,3,-4
158533,3,7
158555,4,-1
158597,4,10
158619,4,4
158636,4,0
158663,4,2
158685,4,1
158707,4,21
158714,4,2
158746,4,0
158767,4,2
158795,4,2
158813,1,7
158827,1,5
158857,1,6
158882,1,0
158903,1,7
158916,1,0
158938,1,0
158967,1,5
158992,1,2
159010,1,3
159035,1,5
159057,1,3
159080,1,3
159099,1,5
159121,1,3
159136,1,5
159158,1,1
159179,2,6
159209,2,2
159230,2,1
159245,2,5
159277,2,8
159299,2,-3
159311,2,4
159341,2,5
159363,2,-1
159373,2,-5
159400,3,-2
159429,3,1
159453,3,4
159475,3,5
159489,3,3
159511,3,1
159533,3,3
159554,3,4
159575,3,3
159608,3,3
159629,3,5
159637,3,-3
159657,3,4
159693,3,-2
159717,4,2
159736,4,2
159751,4,2
159773,4,3
159796,4,5
159827,4,0
159840,4,8
159862,4,-1
159883,4,4
159905,4,-1
159928,4,0
159949,4,-2
159976,1,4
159997,1,5
160020,1,3
160049,1,5
160052,1,2
160079,1,5
160101,1,3
160117,1,-1
160142,1,4
160161,1,4
160196,1,5
160206,2,0
160240,2,7
160269,2,2
160283,2,1
160299,2,-2
160328,2,25
160357,2,7
160379,2,5
160401,2,4
160423,2,3
160438,2,9
160460,2,2
160470,2,20
160504,3,5
160532,3,0
160536,3,11
160559,3,10
160583,3,3
160614,3,1
160639,3,0
160647,3,12
160668,3,-1
160690,4,3
160716,4,6
160738,4,1
160770,4,11
160779,4,4
160801,4,1
160823,4,4
160856,4,5
160879,1,0
160893,1,6
160908,1,4
160930,1,7
160957,1,4
160989,1,0
161010,1,22
161032,1,1
161054,1,4
161076,1,1
161091,1,-1
161126,1,5
161147,2,1
161160,2,5
161187,2,2
161194,2,-2
161222,2,2
161253,2,4
161275,2,1
161302,2,4
161324,2,4
161340,2,3
161362,2,4
161390,2,2
161407,2,1
161421,3,8
161443,3,1
161468,3,1
161490,3,8
161512,3,11
161539,3,12
161560,3,20
161582,3,-1
161590,3,4
161619,3,71
161634,3,4
161670,3,9
161693,3,8
161720,3,0
161722,3,1
161754,3,8
161766,3,2
161788,4,30
161810,4,5
161832,4,2
161854,4,-2
161886,4,17
161898,4,4
161920,4,-2
161947,4,4
161982,4,-3
162004,4,-2
162010,1,4
162032,1,2
162070,1,69
162092,1,-1
162115,1,4
162121,1,13
162143,1,3
162164,1,1
162202,1,4
162209,1,8
162230,1,7
162253,1,-4
162293,2,-1
162315,2,1
162320,2,-1
162356,2,2
162381,2,-6
162399,2,0
162409,2,3
162429,2,3
162448,2,3
162491,3,6
162495,3,2
162535,3,2
162557,3,2
162561,3,-2
162599,3,-1
162620,4,1
162624,4,1
162648,4,0
162686,4,0
162709,4,0
162714,4,2
162736,4,0
162758,4,-3
162799,4,0
162802,4,3
162824,4,1
162846,4,-1
162875,1,5
162896,1,2
162914,1,3
162941,1,1
162963,1,3
162985,1,0
163006,1,3
163038,1,1
163059,1,13
163083,1,6
163103,1,7
163116,1,-4
163137,1,2
163171,2,-3
163193,2,4
163211,2,2
163237,2,1
163256,2,-1
163282,2,0
163299,2,0
163314,2,-2
163337,2,4
163358,2,-3
163380,2,-1
163414,3,7
163435,3,6
163446,3,9
163467,3,2
163489,3,2
163523,3,5
163545,3,2
163556,3,5
163579,4,9
163599,4,6
163623,4,-2
163650,4,0
163666,4,3
163688,4,2
163711,4,17
163732,4,2
163754,4,2
163776,4,6
163798,4,1
163830,1,3
163838,1,2
163860,1,0
163883,1,1
163905,1,10
163927,1,1
163955,1,0
163971,1,-1
164004,1,5
164014,1,1
164049,1,5
164072,2,3
164092,2,5
164115,2,2
164125,2,1
164146,2,4
164171,2,9
164192,2,9
164214,2,3
164235,2,-6
164257,2,-2
164278,2,-1
164301,2,0
164322,3,46
164345,3,16
164367,3,11
164388,3,2
164419,3,10
164441,3,3
164469,3,1
164490,3,6
164512,3,0
164520,3,2
164554,3,-3
164575,3,8
164586,3,-4
164609,4,0
164630,4,2
164652,4,3
164674,4,-3
164708,4,5
164717,4,2
164741,4,1
164763,4,-4
164784,4,1
164807,4,1
164828,4,5
164850,4,1
164872,4,3
164904,1,5
164933,1,-4
164940,1,-3
164963,1,3
164991,1,6
165014,1,3
165042,1,3
165058,1,6
165081,1,6
165101,1,1
165116,1,1
165138,1,1
165164,1,1
165195,2,4
165218,2,4
165240,2,9
165261,2,6
165274,2,5
165296,2,3
165315,2,1
165340,2,-2
165358,3,11
165380,3,7
165402,3,1
165424,3,1
165446,3,5
165468,3,0
165490,3,1
165522,3,3
165543,3,5
165565,3,2
165578,3,6
165601,3,0
165631,3,5
165658,3,3
165680,4,4
165702,4,6
165724,4,2
165730,4,6
165754,4,9
165776,4,-2
165798,4,3
165820,4,2
165842,4,8
165863,4,1
165886,4,9
165912,4,7
165934,4,1
165951,1,5
165989,1,2
166011,1,0
166017,1,2
166039,1,3
166057,1,11
166099,1,1
166121,1,0
166131,1,9
166152,1,3
166187,2,0
166193,2,2
166211,2,4
166237,2,5
166258,2,6
166285,2,2
166307,2,4
166328,2,4
166350,2,1
166369,2,2
166391,2,4
166429,2,2
166431,2,3
166457,2,0
166495,3,6
166517,3,10
166539,3,11
166548,3,-2
166570,3,7
166605,3,1
166611,3,2
166649,3,-3
166671,3,3
166692,3,11
166714,3,9
166736,3,16
166757,3,8
166781,4,3
166803,4,6
166809,4,-1
166847,4,4
166857,4,9
166891,4,6
166913,4,1
166935,4,11
166957,4,-1
166979,4,5
167001,4,2
167023,4,3
167045,4,1
167067,4,0
167070,1,6
167092,1,4
167115,1,7
167137,1,10
167156,1,4
167197,1,5
167218,1,4
167241,1,3
167264,1,6
167268,1,1
167307,1,20
167329,1,2
167334,2,2
167374,2,5
167390,2,15
167418,2,6
167440,2,1
167443,2,3
167466,2,3
167488,2,9
167509,2,5
167532,2,-1
167560,2,0
167593,2,7
167615,3,5
167637,3,-4
167660,3,9
167681,3,3
167684,3,0
167706,3,3
167736,3,3
167758,3,2
167793,3,-1
167814,3,4
167836,3,2
167857,4,2
167879,4,9
167887,4,3
167904,4,8
167946,4,3
167967,4,1
167990,4,1
168011,4,8
168033,4,14
168056,4,3
168078,4,14
168083,1,14
168105,1,3
168128,1,12
168149,1,10
168171,1,-3
168193,1,6
168232,1,9
168255,1,1
168277,1,19
168294,1,11
168303,1,9
168326,1,13
168348,1,-1
168386,2,7
168409,2,6
168431,2,4
168453,2,4
168474,2,3
168479,2,0
168514,2,3
168523,2,4
168562,2,-4
168585,2,4
168607,2,1
168618,2,0
168633,2,2
168672,3,7
168694,3,3
168716,3,4
168721,3,27
168743,3,11
168765,3,-3
168788,3,0
168826,3,1
168844,3,-2
168854,3,9
168892,3,4
168915,3,6
168936,4,-4
168941,4,10
168964,4,1
168985,4,2
169008,4,4
169029,4,0
169069,4,15
169090,4,0
169113,4,14
169135,4,11
169156,4,-1
169159,1,3
169181,1,1
169212,1,-1
169233,1,1
169247,1,-3
169280,1,-3
169299,1,0
169314,1,2
169355,1,0
169377,1,4
169399,2,2
169421,2,5
169434,2,0
169446,2,1
169468,2,1
169500,2,3
169522,2,5
169544,2,3
169566,2,3
169588,2,14
169599,2,-2
169621,3,3
169643,3,-9
169676,3,7
169698,3,3
169720,3,-1
169742,3,4
169770,3,0
169786,3,3
169808,3,2
169827,4,10
169852,4,6
169874,4,2
169892,4,10
169914,4,7
169936,4,14
169958,4,9
169980,4,2
169994,4,1
170017,4,12
170046,4,4
170061,4,-1
170091,4,6
170112,4,1
170135,4,16
170149,1,0
170191,1,-1
170193,1,-1
170220,1,4
170257,1,3
170259,1,10
170301,1,4
170303,1,7
170325,1,-1
170353,1,1
170369,1,1
170411,1,3
170433,1,-5
170435,2,3
170457,2,1
170479,2,1
170501,2,2
170523,2,14
170550,2,8
170567,2,-3
170593,2,5
170629,3,-10
170653,3,16
170675,3,9
170697,3,2
170699,3,-4
170741,3,1
170743,3,0
170785,3,-3
170807,3,2
170809,3,7
170831,4,0
170873,4,2
170894,4,-3
170897,4,5
170919,4,11
170945,4,4
170963,4,0
170985,4,-1
171019,1,13
171044,1,2
171063,1,22
171087,1,3
171108,1,1
171123,1,8
171148,1,-1
171167,1,0
171192,1,0
171211,1,2
171236,1,3
171265,2,11
171286,2,4
171308,2,3
171329,2,22
171352,2,0
171368,2,3
171390,2,4
171409,2,2
171434,2,13
171456,2,-1
171475,2,9
171497,2,5
171519,3,1
171548,3,25
171570,3,5
171592,3,3
171614,3,5
171636,3,-3
171651,3,11
171676,3,-5
171703,3,3
171725,3,-1
171747,3,7
171764,3,4
171789,3,-3
171815,3,4
171837,3,8
171859,3,1
171881,4,-2
171900,4,6
171921,4,6
171943,4,3
171965,4,25
171987,4,-1
172011,4,2
172032,4,5
172054,4,2
172062,1,4
172094,1,0
172116,1,8
172140,1,-1
172170,1,3
172184,1,7
172205,1,4
172228,1,14
172259,1,1
172271,1,-1
172282,2,0
172304,2,3
172336,2,6
172348,2,0
172381,2,3
172404,2,1
172424,2,40
172447,2,0
172469,2,5
172490,2,3
172512,2,3
172536,3,3
172546,3,3
172568,3,1
172601,3,6
172623,3,6
172645,3,-1
172663,3,0
172688,3,2
172700,3,1
172722,3,2
172755,3,3
172778,4,5
172800,4,6
172822,4,0
172843,4,1
172875,4,-1
172876,4,4
172898,4,2
172920,4,-1
172942,4,0
172964,4,2
172986,4,4
173008,4,1
173041,1,13
173063,1,-2
173085,1,-1
173104,1,4
173136,1,0
173158,1,2
173170,1,1
173191,1,-1
173217,1,35
173238,1,1
173261,1,6
173283,2,1
173312,2,-6
173327,2,3
173346,2,2
173368,2,0
173393,2,22
173425,2,9
173447,2,7
173469,2,9
173479,3,0
173501,3,0
173524,3,-12
173547,3,5
173579,3,2
173591,3,3
173621,3,0
173642,4,30
173657,4,1
173679,4,6
173701,4,4
173723,4,0
173745,4,1
173770,4,0
173783,4,-1
173817,1,4
173836,1,1
173861,1,5
173880,1,10
173907,1,0
173912,1,1
173942,1,74
173968,1,1
173990,1,1
174008,1,6
174022,1,1
174056,2,4
174066,2,6
174088,2,1
174126,2,6
174132,2,3
174162,2,2
174176,3,2
174198,3,2
174228,3,0
174257,3,10
174263,3,5
174286,3,1
174323,3,3
174345,3,14
174367,3,3
174389,3,0
174396,3,7
174432,3,1
174448,4,5
174462,4,2
174500,4,11
174521,4,1
174544,4,0
174565,4,0
174589,4,11
174610,4,2
174632,4,3
174654,1,-1
174662,1,5
174684,1,3
174720,1,2
174742,1,4
174763,1,-2
174772,1,3
174797,1,2
174816,1,11
174839,1,4
174871,1,2
174882,1,2
